from_stop_id,to_stop_id,count,per_hour,avg_time,max_time,min_time,lines
1047,5258,7999,-166.645833333333,00:00:25.861374,00:01:08.010985,00:00:05.01918,"{25,94}"
1048,5258,7374,-153.625,00:01:55.64664,00:02:42.667879,00:01:11.363804,{7}
1049,5210,7018,-146.208333333333,00:00:49.715255,00:01:18.168548,00:00:31.905364,{7}
1050,1109,1152,-24,00:00:20.063544,00:00:37.244508,00:00:12.904332,{14}
1051,1391,8871,-184.8125,00:01:26.861449,00:02:03.491802,00:00:42.074742,"{14,15,57,88}"
1052,1051,10749,-223.9375,00:01:23.760908,00:02:03.644561,00:00:51.873163,"{14,15,57,88}"
1053,1183,5023,-104.645833333333,00:01:25.217258,00:02:05.842131,00:00:55.702451,"{14,15}"
1055,1056,3586,-74.7083333333333,00:01:18.93008,00:01:54.169918,00:00:45.558233,"{14,15}"
1056,4254,4526,-94.2916666666667,00:01:55.998972,00:03:27.206143,00:00:53.282808,{89}
1056,5074,2903,-60.4791666666667,00:02:06.172526,00:02:49.475209,00:01:22.197474,"{14,15}"
1059,5466,5896,-122.833333333333,00:00:22.730688,00:00:43.042692,00:00:09.28273,{93}
1060,1104,4215,-87.8125,00:00:46.648135,00:01:08.847603,00:00:21.75928,"{13,15}"
1062,1000,7512,-156.5,00:00:47.898138,00:01:07.614256,00:00:26.346993,"{13,14,15}"
1063,2234,2993,-62.3541666666667,00:01:18.908498,00:01:59.130481,00:00:45.088498,{86}
1064,1111,8967,-186.8125,00:01:21.449174,00:02:00.320983,00:00:50.308937,{19}
1065,1066,4799,-99.9791666666667,00:00:49.543243,00:01:11.339158,00:00:31.306468,"{13,15}"
1066,1067,4581,-95.4375,00:00:48.079089,00:01:08.332756,00:00:33.176492,"{13,15}"
1067,1068,5121,-106.6875,00:01:16.37316,00:01:42.719236,00:00:46.688836,"{13,15}"
1068,1069,5746,-119.708333333333,00:00:57.852795,00:01:21.572327,00:00:37.518956,"{13,15}"
1068,1103,3406,-70.9583333333333,00:01:41.622549,00:02:42.159584,00:00:55.017911,{53}
1069,1599,4911,-102.3125,00:00:50.191016,00:01:13.811747,00:00:32.841128,"{13,15}"
1072,1015,3301,-68.7708333333333,00:00:22.878827,00:00:42.519785,00:00:12.841926,{54}
1073,6103,11217,-233.6875,00:02:20.249724,00:03:45.033055,00:01:14.776855,"{62,93}"
1074,4070,235,-4.89583333333333,00:00:40.568412,00:00:58.817581,00:00:37.923698,{53}
1075,4225,10760,-224.166666666667,00:00:48.951562,00:01:19.048545,00:00:25.976438,"{13,15,53,84}"
1076,6174,11908,-248.083333333333,00:02:04.455199,00:02:41.140277,00:01:32.681019,"{62,93}"
1077,2325,1942,-40.4583333333333,00:00:42.506143,00:01:48.959611,00:00:17.299728,{57}
1079,1012,3790,-78.9583333333333,00:01:29.841373,00:02:08.238082,00:00:49.401939,{84}
1079,1027,1427,-29.7291666666667,00:01:28.986188,00:01:47.308617,00:01:05.169262,{14}
1080,4224,9233,-192.354166666667,00:01:48.17365,00:03:03.127038,00:00:56.929207,"{13,15,53}"
1081,1004,1049,-21.8541666666667,00:00:25.891471,00:00:49.541191,00:00:16.863143,"{13,15,53}"
1082,1052,1065,-22.1875,00:00:23.477214,00:00:44.137005,00:00:11.25851,{57}
1082,9026,3230,-67.2916666666667,00:01:14.906295,00:02:25.061822,00:00:11.801674,{58}
1083,1904,3072,-64,00:03:35.698336,00:04:58.693219,00:02:24.746453,{58}
1084,2308,2115,-44.0625,00:01:17.761231,00:02:56.18509,00:00:18.313033,{57}
1094,1064,7784,-162.166666666667,00:01:35.993594,00:02:05.956667,00:01:03.373642,{19}
1094,1108,4048,-84.3333333333333,00:01:08.929753,00:01:32.86058,00:00:46.437791,{20}
1095,1105,4694,-97.7916666666667,00:00:54.280823,00:01:21.284155,00:00:33.702633,{20}
1096,1097,4496,-93.6666666666667,00:01:47.093039,00:02:22.311161,00:01:11.835027,{20}
1097,1098,4531,-94.3958333333333,00:01:22.619229,00:01:58.403439,00:00:56.932186,{20}
1098,1172,4669,-97.2708333333333,00:00:53.668128,00:01:25.225149,00:00:24.448599,{20}
1099,1116,6854,-142.791666666667,00:01:26.068166,00:02:03.475083,00:00:55.892946,{87}
1102,4598,9133,-190.270833333333,00:00:46.96275,00:01:05.881712,00:00:23.791234,"{20,87}"
1103,1074,999,-20.8125,00:01:15.03559,00:02:19.282845,00:00:25.823672,{53}
1103,4070,3276,-68.25,00:00:59.424895,00:01:23.296297,00:00:34.938819,{84}
1104,1007,4687,-97.6458333333333,00:01:17.171907,00:01:57.268005,00:00:46.762845,"{13,15}"
1105,1306,3794,-79.0416666666667,00:01:56.453279,00:02:39.332619,00:01:20.984023,{20}
1108,1096,3528,-73.5,00:01:28.589127,00:01:55.355947,00:01:01.737203,{20}
1109,1007,3959,-82.4791666666667,00:01:06.685943,00:01:53.4725,00:00:36.036015,{53}
1109,1079,6245,-130.104166666667,00:01:27.692428,00:02:11.539031,00:00:51.816051,"{14,84}"
1111,5108,7563,-157.5625,00:01:09.139222,00:01:39.060685,00:00:45.600442,{19}
1112,1114,4239,-88.3125,00:02:25.268707,00:03:28.269519,00:01:38.494714,{20}
1112,5009,4761,-99.1875,00:03:57.17089,00:05:29.58107,00:02:54.960555,"{14,15}"
1113,1139,8382,-174.625,00:01:16.024431,00:01:42.570916,00:00:46.088934,"{27,80}"
1114,1115,4071,-84.8125,00:00:55.390059,00:01:29.579416,00:00:27.855917,{20}
1116,1102,6770,-141.041666666667,00:01:02.807195,00:01:40.02794,00:00:36.998799,{87}
1117,1253,5503,-114.645833333333,00:01:39.020007,00:03:08.980583,00:00:44.348316,{89}
1124,1165,11746,-244.708333333333,00:02:29.616939,00:03:53.105663,00:01:32.684356,"{27,95}"
1124,3567,12592,-262.333333333333,00:02:23.641235,00:03:35.890266,00:01:34.262138,"{38,71}"
1125,1126,10345,-215.520833333333,00:01:19.805955,00:02:06.491515,00:00:40.174398,"{27,48}"
1126,1127,10800,-225,00:01:36.075927,00:02:33.613254,00:00:55.112719,"{27,48}"
1127,1376,8334,-173.625,00:00:51.45668,00:01:19.865457,00:00:30.511415,"{27,48}"
1128,6354,7100,-147.916666666667,00:01:44.789508,00:03:01.05011,00:00:49.409592,"{27,95}"
1131,1132,11746,-244.708333333333,00:00:44.946926,00:01:25.868652,00:00:14.768809,"{27,64}"
1131,1263,1978,-41.2083333333333,00:02:00.923934,00:03:02.248389,00:01:15.985925,{22}
1132,1133,7040,-146.666666666667,00:01:09.595848,00:02:12.922961,00:00:30.670406,"{21,27}"
1132,2927,5692,-118.583333333333,00:01:59.573901,00:02:48.225264,00:01:11.741157,{64}
1133,1134,4116,-85.75,00:02:13.751063,00:03:04.510818,00:01:29.993324,{27}
1133,1416,4482,-93.375,00:01:02.090739,00:01:44.996008,00:00:29.467353,{21}
1134,1135,5972,-124.416666666667,00:01:02.689594,00:01:39.380195,00:00:39.04772,"{22,27}"
1135,1136,10054,-209.458333333333,00:01:24.89172,00:02:19.403367,00:00:49.945197,"{22,27,80}"
1136,2283,11352,-236.5,00:02:37.22838,00:04:58.953298,00:01:13.66494,"{22,27,61,80}"
1138,1522,3673,-76.5208333333333,00:00:48.341517,00:01:07.675517,00:00:31.596929,{27}
1139,1140,8832,-184,00:01:46.505576,00:02:23.378932,00:01:10.629769,"{27,80}"
1140,1141,13912,-289.833333333333,00:01:24.445267,00:02:04.907818,00:00:50.753999,"{27,28,80}"
1141,1138,3665,-76.3541666666667,00:01:16.795174,00:01:44.885797,00:00:49.704979,{27}
1141,1408,4835,-100.729166666667,00:01:25.946934,00:02:03.471913,00:00:53.48394,{28}
1141,3954,5234,-109.041666666667,00:01:48.450226,00:02:30.508432,00:01:18.947897,{80}
1142,1102,3275,-68.2291666666667,00:00:20.108558,00:00:36.626191,00:00:14.026658,{20}
1148,1149,1885,-39.2708333333333,00:00:20.035215,00:00:28.557651,00:00:14.863333,{36}
1149,1134,1631,-33.9791666666667,00:01:06.474487,00:01:47.404288,00:00:34.356002,{22}
1149,1802,3804,-79.25,00:00:42.456771,00:01:23.262697,00:00:11.865554,{36}
1150,1152,4046,-84.2916666666667,00:01:17.732625,00:01:51.680382,00:00:54.637389,{27}
1152,1153,13931,-290.229166666667,00:01:26.739793,00:02:08.445485,00:00:52.67752,"{27,28,80}"
1153,1154,8475,-176.5625,00:01:47.140341,00:02:36.03771,00:01:10.179253,"{27,80}"
1153,1459,4091,-85.2291666666667,00:01:42.344444,00:02:20.249649,00:01:05.862402,{28}
1154,2287,10171,-211.895833333333,00:01:58.402302,00:03:25.303751,00:00:56.198023,"{27,80}"
1156,1157,6277,-130.770833333333,00:01:41.062842,00:02:41.955636,00:00:58.50872,"{22,27}"
1156,1159,3302,-68.7916666666667,00:01:45.87943,00:02:39.734458,00:01:02.781603,{80}
1156,6053,4462,-92.9583333333333,00:01:36.420867,00:02:41.148702,00:00:53.226701,{61}
1157,1158,6442,-134.208333333333,00:01:09.500574,00:01:49.904653,00:00:39.160862,"{22,27}"
1158,1417,1627,-33.8958333333333,00:01:07.299657,00:01:43.610691,00:00:35.951799,{22}
1158,1476,3743,-77.9791666666667,00:01:54.314785,00:02:46.048606,00:01:12.651496,{27}
1159,3912,3194,-66.5416666666667,00:01:36.093148,00:02:05.386366,00:01:05.768421,{80}
1162,1776,8978,-187.041666666667,00:01:26.523405,00:02:07.627591,00:00:54.293958,"{27,64}"
1162,4370,1277,-26.6041666666667,00:00:56.283154,00:01:25.54829,00:00:34.676824,{22}
1165,1166,11856,-247,00:01:36.323568,00:02:26.555257,00:00:58.940227,"{27,95}"
1166,1167,3832,-79.8333333333333,00:01:43.545192,00:02:22.992711,00:01:02.738073,{27}
1166,1781,7394,-154.041666666667,00:01:48.400106,00:02:22.316228,00:01:18.967641,{95}
1167,1168,10689,-222.6875,00:01:54.373039,00:03:43.001233,00:00:40.491067,"{27,48}"
1168,1169,10606,-220.958333333333,00:01:44.710034,00:02:48.040385,00:00:58.727961,"{27,48}"
1169,2418,5798,-120.791666666667,00:01:20.077919,00:02:23.090851,00:00:30.553587,{48}
1172,1112,3829,-79.7708333333333,00:01:14.214463,00:01:44.720297,00:00:41.027017,{20}
1178,4595,62,-1.29166666666667,00:03:31.233514,00:06:00.3314,00:01:39.830512,{89}
1179,1180,3372,-70.25,00:00:48.791383,00:01:15.388041,00:00:32.888469,{20}
1180,1183,3917,-81.6041666666667,00:02:25.374549,00:03:29.560163,00:01:37.959971,{20}
1182,1197,4410,-91.875,00:01:18.604706,00:01:58.120456,00:00:44.263352,{20}
1183,1184,3661,-76.2708333333333,00:01:44.795272,00:02:39.812902,00:01:04.390392,{20}
1183,6864,9246,-192.625,00:02:22.905005,00:03:28.045703,00:01:34.406868,"{13,14,15}"
1184,1182,3783,-78.8125,00:00:47.881793,00:01:11.035514,00:00:26.932651,{20}
1185,1162,8185,-170.520833333333,00:01:56.973096,00:02:44.688693,00:01:04.3712,"{27,64}"
1190,1209,4649,-96.8541666666667,00:01:19.823425,00:01:51.151818,00:00:55.353556,{20}
1193,1195,5886,-122.625,00:00:49.554801,00:01:18.42313,00:00:31.608715,{87}
1195,1196,5899,-122.895833333333,00:01:39.426865,00:02:19.223815,00:01:13.521696,{87}
1196,4059,651,-13.5625,00:02:11.70613,00:03:21.81102,00:01:18.366325,{87}
1197,1198,3804,-79.25,00:01:39.440553,00:02:12.564258,00:01:04.823305,{20}
1198,1199,3849,-80.1875,00:01:58.219125,00:02:27.445858,00:01:23.473303,{20}
1199,1236,11971,-249.395833333333,00:01:10.787968,00:01:40.018671,00:00:44.165322,"{19,20}"
1201,1203,2659,-55.3958333333333,00:00:20.079427,00:00:37.228767,00:00:13.988178,{46}
1203,1487,6664,-138.833333333333,00:02:25.163732,00:03:25.301871,00:01:34.912641,{46}
1204,1205,6236,-129.916666666667,00:01:47.515746,00:02:22.179014,00:01:12.88434,{89}
1204,1489,2918,-60.7916666666667,00:01:08.315168,00:01:33.875672,00:00:43.495298,{75}
1205,1206,6760,-140.833333333333,00:00:59.394556,00:01:29.912518,00:00:35.083209,{89}
1206,1207,6470,-134.791666666667,00:01:17.431438,00:01:51.932056,00:00:48.671067,{89}
1207,1208,6932,-144.416666666667,00:01:25.832431,00:02:28.676931,00:00:50.280073,{89}
1207,2532,5504,-114.666666666667,00:01:14.636698,00:01:43.605088,00:00:46.094638,{49}
1208,3760,6323,-131.729166666667,00:02:05.996095,00:02:47.223159,00:01:30.356459,{89}
1209,4661,3703,-77.1458333333333,00:01:08.729419,00:01:33.09051,00:00:44.216786,{20}
1211,1178,5675,-118.229166666667,00:01:40.233746,00:02:41.248255,00:00:58.004044,{89}
1213,6467,1802,-37.5416666666667,00:01:24.830745,00:02:15.176301,00:00:46.797469,{22}
1215,1216,1552,-32.3333333333333,00:03:00.647599,00:04:40.837665,00:01:49.344088,{22}
1216,1217,1524,-31.75,00:00:58.372885,00:02:38.800212,00:00:14.967744,{22}
1217,1162,1477,-30.7708333333333,00:02:36.635122,00:03:41.508709,00:01:36.008628,{22}
1227,2214,5862,-122.125,00:02:20.221798,00:03:43.581852,00:01:18.093885,{46}
1233,1706,10069,-209.770833333333,00:02:38.566309,00:03:34.734801,00:01:52.413554,"{34,80}"
1233,1906,13613,-283.604166666667,00:02:37.511357,00:03:30.118555,00:01:50.510459,"{38,95}"
1236,1307,13394,-279.041666666667,00:01:34.415801,00:02:31.893454,00:00:55.401092,"{19,20}"
1242,6754,55,-1.14583333333333,00:00:57.655093,00:01:20.515982,00:00:39.194695,{89}
1250,1921,5230,-108.958333333333,00:01:15.829004,00:02:08.832883,00:00:39.540802,{43}
1250,2131,4641,-96.6875,00:01:37.6091,00:02:47.495936,00:00:40.666287,{60}
1251,4856,4466,-93.0416666666667,00:01:18.046468,00:01:50.942421,00:00:50.698237,{60}
1253,1255,6642,-138.375,00:01:29.572831,00:02:45.853789,00:00:37.005194,{89}
1255,1256,6868,-143.083333333333,00:01:58.466443,00:02:55.721258,00:01:14.979444,{89}
1256,1257,6539,-136.229166666667,00:01:18.571724,00:01:49.553223,00:00:54.401702,{89}
1257,2536,6049,-126.020833333333,00:01:19.156665,00:01:55.715886,00:00:55.65512,{89}
1257,2579,5770,-120.208333333333,00:00:50.372248,00:01:17.248709,00:00:32.193915,{49}
1258,5756,13013,-271.104166666667,00:01:03.918423,00:01:41.154964,00:00:30.680538,"{32,82,97}"
1259,1260,5519,-114.979166666667,00:01:15.308602,00:01:47.920391,00:00:44.800784,{89}
1260,1483,3257,-67.8541666666667,00:01:17.03494,00:01:44.803446,00:00:40.437149,{75}
1262,1132,2588,-53.9166666666667,00:00:20.072663,00:00:37.553786,00:00:13.155638,{21}
1262,1417,778,-16.2083333333333,00:00:22.383965,00:00:47.182447,00:00:12.899016,{12}
1263,1264,1616,-33.6666666666667,00:01:19.26837,00:02:11.91426,00:00:36.62728,{22}
1264,1265,1748,-36.4166666666667,00:01:25.567714,00:02:40.297483,00:00:34.73818,{22}
1265,1266,1332,-27.75,00:01:55.392501,00:02:51.855102,00:01:12.162625,{22}
1266,6466,1482,-30.875,00:00:54.55628,00:01:22.906098,00:00:30.854961,{22}
1270,1149,1569,-32.6875,00:01:44.430683,00:02:33.14086,00:01:04.286823,{22}
1270,1271,4396,-91.5833333333333,00:02:00.404151,00:03:52.454559,00:00:57.504722,{60}
1270,1476,4172,-86.9166666666667,00:01:55.84602,00:03:05.045447,00:01:15.851491,{21}
1271,3921,4171,-86.8958333333333,00:02:27.573955,00:03:53.081017,00:01:20.670765,{60}
1273,1270,5251,-109.395833333333,00:01:16.782686,00:01:54.52035,00:00:46.877061,"{22,60}"
1273,1402,6342,-132.125,00:01:25.226982,00:02:16.951268,00:00:50.892052,{63}
1273,6082,5104,-106.333333333333,00:01:39.465752,00:02:13.719798,00:01:13.040449,{64}
1278,1764,5086,-105.958333333333,00:02:40.064672,00:03:32.357728,00:01:51.852031,{34}
1280,3155,5552,-115.666666666667,00:00:59.171547,00:01:41.03547,00:00:25.387516,{59}
1283,2294,6065,-126.354166666667,00:01:35.689924,00:02:07.168335,00:01:05.155338,{64}
1286,1183,2209,-46.0208333333333,00:00:20.468274,00:00:39.50221,00:00:13.402726,{13}
1288,4152,6743,-140.479166666667,00:00:22.236162,00:00:43.160192,00:00:09.100794,{87}
1290,5402,1742,-36.2916666666667,00:00:20.034723,00:00:29.66921,00:00:12.366914,{51}
1305,1998,6376,-132.833333333333,00:00:34.006437,00:01:01.047763,00:00:15.179575,{42}
1306,1094,12734,-265.291666666667,00:01:43.887371,00:02:23.255766,00:01:04.41333,"{19,20}"
1307,1190,4225,-88.0208333333333,00:01:34.248484,00:02:04.484785,00:01:00.659884,{20}
1307,5168,8775,-182.8125,00:01:14.065115,00:01:46.998717,00:00:42.970705,{19}
1308,4005,6086,-126.791666666667,00:01:47.706795,00:02:24.780091,00:01:01.42431,{82}
1310,4058,6858,-142.875,00:01:17.743247,00:01:47.466874,00:00:52.641,{82}
1375,1377,929,-19.3541666666667,00:00:52.687602,00:01:19.464186,00:00:38.287875,{77}
1376,1128,4602,-95.875,00:01:11.893022,00:02:18.561325,00:00:20.895031,{27}
1376,1781,5099,-106.229166666667,00:01:48.955827,00:02:27.145807,00:01:14.178774,{48}
1377,1380,896,-18.6666666666667,00:00:49.586167,00:01:07.026089,00:00:35.037157,{77}
1380,9169,894,-18.625,00:00:45.529691,00:01:00.593345,00:00:32.835601,{77}
1381,1387,739,-15.3958333333333,00:01:01.181128,00:01:35.792678,00:00:38.887567,{77}
1387,1635,895,-18.6458333333333,00:01:31.813617,00:02:01.270531,00:00:59.058814,{77}
1391,1055,4894,-101.958333333333,00:01:40.041127,00:02:39.910131,00:00:58.251308,"{14,15}"
1391,2304,1945,-40.5208333333333,00:00:57.708589,00:01:23.946306,00:00:38.437364,"{57,88}"
1392,1016,8915,-185.729166666667,00:01:43.489704,00:02:57.911311,00:00:46.385379,"{14,15,57,88}"
1402,1419,12619,-262.895833333333,00:01:16.838741,00:01:46.551743,00:00:46.007067,"{21,63,79}"
1403,1404,8535,-177.8125,00:01:32.186105,00:02:23.87901,00:00:49.797183,"{28,79}"
1403,3251,8881,-185.020833333333,00:01:16.572257,00:01:55.975971,00:00:47.930872,"{21,63}"
1404,6448,3907,-81.3958333333333,00:02:08.557772,00:03:06.378263,00:01:17.916069,{79}
1404,6449,4751,-98.9791666666667,00:01:06.320585,00:02:00.876587,00:00:27.990422,{28}
1406,1424,5072,-105.666666666667,00:01:09.227718,00:02:44.262619,00:00:14.742698,{28}
1408,6476,4141,-86.2708333333333,00:01:17.283644,00:01:50.937533,00:00:44.455007,{28}
1410,1421,5565,-115.9375,00:00:58.28325,00:01:25.448797,00:00:37.142442,{28}
1412,1422,4151,-86.4791666666667,00:01:18.550155,00:01:55.635997,00:00:46.900124,{28}
1415,1831,3944,-82.1666666666667,00:01:09.222463,00:01:34.355329,00:00:45.161998,{28}
1416,1418,8318,-173.291666666667,00:01:53.161694,00:03:23.346526,00:00:49.616153,"{21,60}"
1417,1418,1586,-33.0416666666667,00:07:18.901269,00:12:01.054836,00:03:59.675552,{12}
1417,3399,1977,-41.1875,00:00:48.701212,00:02:01.17372,00:00:16.782111,{22}
1418,1402,8145,-169.6875,00:01:45.732028,00:03:03.045709,00:00:43.945832,"{21,79}"
1418,6448,2184,-45.5,00:06:28.709016,00:09:01.157926,00:04:33.162786,{12}
1419,1403,12557,-261.604166666667,00:00:55.152629,00:01:24.4526,00:00:26.867165,"{21,63,79}"
1421,1412,4216,-87.8333333333333,00:00:46.909919,00:01:06.865702,00:00:22.150807,{28}
1422,1423,4693,-97.7708333333333,00:00:47.613408,00:01:06.079059,00:00:28.852028,{28}
1423,1415,4898,-102.041666666667,00:00:48.841656,00:01:09.572434,00:00:27.119965,{28}
1424,1140,5239,-109.145833333333,00:01:34.373916,00:02:24.111104,00:00:57.372959,{28}
1449,1456,5714,-119.041666666667,00:00:58.858427,00:01:24.874509,00:00:38.144954,{28}
