Nom;ID;Latitude;Longitude;Coordonnées
CERES;5961;50.895385;4.403336;50.895385, 4.403336
CERIA;8662;50.816221;4.290451;50.816221, 4.290451
CHARMILLE;1540;50.850757;4.434246;50.850757, 4.434246
CHASSEURS ARDENNAIS;6056;50.849111;4.389840;50.849111, 4.38984
CHATAIGNES;1232;50.817291;4.325500;50.817291, 4.3255
CHATEAU D'OR;1930;50.786980;4.330689;50.78698, 4.330689
CHAZAL;5355;50.861129;4.391337;50.861129, 4.391337
CHIEN VERT;1859;50.834884;4.429255;50.834884, 4.429255
CHIEN VERT;5504;50.834984;4.428233;50.834984, 4.428233
CHIEN VERT;5559;50.835083;4.427821;50.835083, 4.427821
CHURCHILL;5220;50.811805;4.354663;50.811805, 4.354663
CIMETIERE D'IXELLES;3514;50.815966;4.390704;50.815966, 4.390704
CIMETIERE DE BRUXELLES;3401;50.864249;4.418199;50.864249, 4.418199
CIMETIERE DE JETTE;2805;50.879312;4.333756;50.879312, 4.333756
CIMETIERE DE MOLENBEEK;7210;50.859032;4.311443;50.859032, 4.311443
CIMETIERE DE MOLENBEEK;4007G;50.858672;4.313262;50.858672, 4.313262
CITE MODELE 4;4069;50.894042;4.322985;50.894042, 4.322985
CITE MODELE 4;4221;50.894042;4.322118;50.894042, 4.322118
CLAESSENS;2325;50.873033;4.358268;50.873033, 4.358268
COGHEN;5857;50.813304;4.338855;50.813304, 4.338855
COLLEGE SACRE-COEUR;1111;50.866675;4.314886;50.866675, 4.314886
COLLEGE SACRE-COEUR;5172;50.866918;4.314857;50.866918, 4.314857
COMBAZ;2404F;50.825332;4.338621;50.825332, 4.338621
CONDOR;3239;50.852693;4.307347;50.852693, 4.307347
CONGRES;6308;50.850416;4.364237;50.850416, 4.364237
CONSCIENCE;3470;50.868086;4.398102;50.868086, 4.398102
CORTENBACH;2985;50.891847;4.418030;50.891847, 4.41803
COTEAUX;3112;50.859172;4.377161;50.859172, 4.377161
COTEAUX;6203F;50.859495;4.377218;50.859495, 4.377218
CREMATORIUM;5823;50.784264;4.327969;50.784264, 4.327969
CUREGHEM;2218;50.836822;4.318057;50.836822, 4.318057
DA VINCI;5046;50.874625;4.413309;50.874625, 4.413309
DA VINCI;5041F;50.876864;4.411833;50.876864, 4.411833
DAILLY;9291;50.852788;4.387101;50.852788, 4.387101
DAUTZENBERG;6120;50.827628;4.367290;50.827628, 4.36729
DE BROUCKERE;1281;50.850676;4.350945;50.850676, 4.350945
DE BROUCKERE;2542;50.850649;4.352209;50.850649, 4.352209
DE BROUCKERE;8011;50.850092;4.352209;50.850092, 4.352209
DE BURBURE;5515;50.845317;4.473541;50.845317, 4.473541
DE HEYN;4223;50.893529;4.319447;50.893529, 4.319447
DE JAMBLINNE DE MEUX;1403;50.847240;4.393730;50.84724, 4.39373
DE LINDE;2373;50.835428;4.298979;50.835428, 4.298979
DE RIVIEREN;4065;50.878515;4.316549;50.878515, 4.316549
DE WANSIJN;1736;50.792217;4.359036;50.792217, 4.359036
DECROLY;2414;50.804320;4.327881;50.80432, 4.327881
DEGROOFF;1153;50.843612;4.411504;50.843612, 4.411504
DELTA;8232;50.818192;4.403917;50.818192, 4.403917
DEMEY;8252;50.813367;4.421295;50.813367, 4.421295
DEMINEURS;2584;50.878395;4.332648;50.878395, 4.332648
DEMINEURS;5079;50.877973;4.332833;50.877973, 4.332833
DEMUNTER;1080;50.890129;4.315599;50.890129, 4.315599
DIAMANT;6454;50.849234;4.401541;50.849234, 4.401541
DIAMANT;6455;50.849351;4.401527;50.849351, 4.401527
DIELEGHEM;1006;50.885222;4.317579;50.885222, 4.317579
DIGUE DU CANAL;3856;50.824377;4.309924;50.824377, 4.309924
DIRECTOIRE;2153;50.789619;4.359548;50.789619, 4.359548
DON BOSCO;1831;50.841399;4.448927;50.841399, 4.448927
DOUVRES;6809;50.836065;4.313970;50.836065, 4.31397
DOUVRES;6858B;50.835921;4.313402;50.835921, 4.313402
DRIE FONTEINEN;9754;50.916458;4.422422;50.916458, 4.422422
DROGENBOS CHATEAU;7469;50.784586;4.318911;50.784586, 4.318911
DUCHESSE DE BRABANT;3258F;50.849628;4.330994;50.849628, 4.330994
DUYSBURGH;5295;50.883341;4.338840;50.883341, 4.33884
ECOLE DES CADETS;2812;50.885196;4.353363;50.885196, 4.353363
EDDY MERCKX;8652;50.816485;4.281681;50.816485, 4.281681
EENENS;3167;50.868215;4.377078;50.868215, 4.377078
EENENS;6365;50.868611;4.374847;50.868611, 4.374847
EGIDE VAN OPHEM;5953;50.796309;4.323760;50.796309, 4.32376
EGIDE VAN OPHEM;5916F;50.796219;4.324185;50.796219, 4.324185
EGLISE SAINT-SERVAIS;6304;50.864062;4.373327;50.864062, 4.373327
EGLISE SAINT-SERVAIS;6363;50.864260;4.373511;50.86426, 4.373511
EGLISE WEZEMBEEK;1635;50.853687;4.482052;50.853687, 4.482052
ENTREPOT;2370;50.868610;4.353112;50.86861, 4.353112
ESPLANADE;6485F;50.900108;4.348127;50.900108, 4.348127
ETANGS;1777;50.835457;4.381117;50.835457, 4.381117
ETANGS;3160;50.836113;4.380833;50.836113, 4.380833
ETANGS DE BOITSFORT;4292;50.793960;4.417940;50.79396, 4.41794
ETANGS NOIRS;4111;50.857072;4.332196;50.857072, 4.332196
ETANGS NOIRS;8292;50.857117;4.332565;50.857117, 4.332565
ETTERBEEK GARE;4363;50.821900;4.388876;50.8219, 4.388876
EVERE SHOPPING;3450;50.866789;4.404749;50.866789, 4.404749
EVERE SHOPPING;4557;50.866592;4.404224;50.866592, 4.404224
EVERE SHOPPING;5278F;50.866727;4.402505;50.866727, 4.402505
FAIDER;5066F;50.830045;4.356077;50.830045, 4.356077
FAUCONNERIE;4315;50.801357;4.422388;50.801357, 4.422388
VERBOEKHOVEN;3168;50.870876;4.376126;50.870876, 4.376126
VERT CHASSEUR;2762;50.801459;4.373603;50.801459, 4.373603
VETERANS COLONIAUX;3760;50.843868;4.314003;50.843868, 4.314003
VETERINAIRES;2528;50.832628;4.328907;50.832628, 4.328907
VIER HUISKENS;9169;50.853235;4.501137;50.853235, 4.501137
VILVORDE STATION;9751;50.923977;4.431334;50.923977, 4.431334
VIOLETTES;1602;50.840749;4.484562;50.840749, 4.484562
VIVIER D'OIE;2138B;50.794798;4.373730;50.794798, 4.37373
WAGON;5917;50.796832;4.329461;50.796832, 4.329461
WAUTERS;1493;50.818705;4.294889;50.818705, 4.294889
WAXWEILER;1492;50.823022;4.297351;50.823022, 4.297351
WERY;3155;50.829389;4.376204;50.829389, 4.376204
WEZEMBEEK-SHOPPING;1661;50.848221;4.472851;50.848221, 4.472851
WIENER;4340;50.798625;4.420498;50.798625, 4.420498
WIENER;4349;50.798517;4.419094;50.798517, 4.419094
WIENER;4351;50.798688;4.419165;50.798688, 4.419165
WIENER;5422;50.798194;4.418753;50.798194, 4.418753
WILLEMYNS;1205;50.839247;4.296546;50.839247, 4.296546
WIMPELBERG;2328;50.899893;4.385400;50.899893, 4.3854
WITLOOF;2991;50.901185;4.423029;50.901185, 4.423029
WOESTE;2504;50.874395;4.332339;50.874395, 4.332339
WTC;1022;50.860915;4.356708;50.860915, 4.356708
WTC;9025;50.861751;4.356097;50.861751, 4.356097
XAVIER DE BUE;5854;50.804197;4.336690;50.804197, 4.33669
YSAYE;6856;50.830375;4.296659;50.830375, 4.296659
YSER;6651;50.857525;4.348670;50.857525, 4.34867
ZAMAN - FOREST NATIONAL;2603;50.813641;4.324765;50.813641, 4.324765
MANOIR D'ANJOU;1822;50.828404;4.456073;50.828404, 4.456073
MARCEL THIRY;1526;50.855671;4.440572;50.855671, 4.440572
MARCEL THIRY;1553;50.854908;4.438910;50.854908, 4.43891
MAREYDE;1834;50.832914;4.446812;50.832914, 4.446812
MARGUERITE;3218;50.847098;4.387396;50.847098, 4.387396
MARIUS RENARD;3611;50.824926;4.282034;50.824926, 4.282034
MARLOW;2710G;50.801583;4.340643;50.801583, 4.340643
MARTYRS;2354;50.852339;4.354225;50.852339, 4.354225
MEIR;2254;50.832176;4.302036;50.832176, 4.302036
MEIR;2323;50.833030;4.302816;50.83303, 4.302816
MEIR;6857;50.832599;4.302703;50.832599, 4.302703
MELARD;1410;50.842013;4.428398;50.842013, 4.428398
MERCHTEM;4214;50.858413;4.336782;50.858413, 4.336782
MERCURE;4853;50.796415;4.356709;50.796415, 4.356709
MERCURE;4804B;50.796829;4.356511;50.796829, 4.356511
MERIDIEN;3325;50.856412;4.369051;50.856412, 4.369051
MERLO;5722;50.798779;4.319389;50.798779, 4.319389
MERLO;5722F;50.798779;4.319374;50.798779, 4.319374
MERODE;6152;50.839301;4.399631;50.839301, 4.399631
MERTENS;1819;50.831505;4.443601;50.831505, 4.443601
MESSIDOR;5024;50.809808;4.345455;50.809808, 4.345455
MEUDON;1152;50.844896;4.416773;50.844896, 4.416773
MICHEL-ANGE;1402;50.845165;4.386430;50.845165, 4.38643
MIROIR;1014;50.870949;4.324471;50.870949, 4.324471
MIROIR;2506;50.871344;4.323533;50.871344, 4.323533
MOENSBERG STATION;1957;50.779087;4.332411;50.779087, 4.332411
MOLIERE-LONGCHAMP;5811;50.816262;4.339975;50.816262, 4.339975
MOMMAERTS;4505;50.856889;4.413007;50.856889, 4.413007
MONACO;2604F;50.812957;4.322694;50.812957, 4.322694
MONACO;2667F;50.812894;4.322907;50.812894, 4.322907
MONTGOMERY;0089;50.838120;4.409114;50.83812, 4.409114
MONTGOMERY;0801;50.837123;4.407182;50.837123, 4.407182
MONTGOMERY;8081;50.837653;4.407552;50.837653, 4.407552
