Nom;ID;Latitude;Longitude;Coordonnées
MARIE-JOSE;5460F;50.806653;4.387678;50.806653, 4.387678
MARTYRS;2275;50.852681;4.354353;50.852681, 4.354353
MATISSE;3304;50.874492;4.408606;50.874492, 4.408606
MAX WALLER;5720;50.806418;4.314103;50.806418, 4.314103
MEISER;2248;50.855330;4.397171;50.85533, 4.397171
MEISER;2249;50.855159;4.397029;50.855159, 4.397029
MEISER;2241F;50.855357;4.396674;50.855357, 4.396674
MENNEKENS;6071;50.855826;4.316659;50.855826, 4.316659
MERLO;5756;50.799112;4.319417;50.799112, 4.319417
MERLO;7471;50.798817;4.321006;50.798817, 4.321006
MERODE;8072;50.839382;4.398155;50.839382, 4.398155
MERODE;6463F;50.839184;4.399972;50.839184, 4.399972
MEYSSE;5775;50.896702;4.351525;50.896702, 4.351525
MINNEMOLEN;9605;50.921031;4.406413;50.921031, 4.406413
MOLIERE;5022;50.815661;4.349156;50.815661, 4.349156
MOLIERE-LONGCHAMP;5858;50.816405;4.340145;50.816405, 4.340145
MONNOYER;5913;50.885509;4.389984;50.885509, 4.389984
MONNOYER;5965;50.885437;4.390411;50.885437, 4.390411
MONTALD;1458;50.844094;4.421202;50.844094, 4.421202
MONTANA;6439;50.799589;4.376795;50.799589, 4.376795
MONTGOMERY;2289;50.837869;4.407055;50.837869, 4.407055
MONTJOIE;1972;50.810053;4.364538;50.810053, 4.364538
MOSTINCK;1815;50.833278;4.423319;50.833278, 4.423319
MOUETTES;1812;50.824949;4.414481;50.824949, 4.414481
MOZART;3815;50.810729;4.305500;50.810729, 4.3055
MUSEE DU TRAM;5290;50.831862;4.433367;50.831862, 4.433367
NATO;3302;50.877651;4.420899;50.877651, 4.420899
NEERSTALLE;2663;50.801295;4.317315;50.801295, 4.317315
NEERSTALLE;7462;50.799976;4.316940;50.799976, 4.31694
NEREUS;4158;50.872616;4.313103;50.872616, 4.313103
NERVIENS;1873;50.839106;4.385817;50.839106, 4.385817
NICOLAY;2269;50.859189;4.354777;50.859189, 4.354777
NOTRE-DAME;2912;50.871438;4.399980;50.871438, 4.39998
NOTRE-DAME;2980;50.870872;4.400107;50.870872, 4.400107
NOTRE-DAME;3307;50.871240;4.400462;50.87124, 4.400462
OBSERVATOIRE;4857;50.799553;4.358567;50.799553, 4.358567
OCEAN ATLANTIQUE;1861;50.830997;4.418306;50.830997, 4.418306
ODON WARLAND;5077;50.870881;4.334657;50.870881, 4.334657
OPALE;1563;50.850187;4.398644;50.850187, 4.398644
OPTIMISME;3240;50.862095;4.409177;50.862095, 4.409177
ORTOLANS;4356;50.803124;4.408998;50.803124, 4.408998
OSSEGHEM;1202;50.856387;4.326529;50.856387, 4.326529
OUD KAPELLEKE;2924;50.874152;4.403008;50.874152, 4.403008
PADUWA;3898;50.858911;4.413620;50.858911, 4.41362
PAIX;5872;50.876949;4.400836;50.876949, 4.400836
PALAIS;6310F;50.843692;4.360730;50.843692, 4.36073
PARC;3351;50.847396;4.361440;50.847396, 4.36144
PARC;8031;50.845751;4.362434;50.845751, 4.362434
PARC ELISABETH;4152;50.865494;4.327473;50.865494, 4.327473
PARC MONNET;1099;50.869995;4.288174;50.869995, 4.288174
PARC SENY;2014;50.808321;4.427177;50.808321, 4.427177
PARC VIVES;3612F;50.825882;4.285624;50.825882, 4.285624
PASTEUR;2112;50.780305;4.349198;50.780305, 4.349198
PATRIE;3298;50.856815;4.390653;50.856815, 4.390653
PATRIE;6204;50.856230;4.391249;50.85623, 4.391249
PATRIE;6214;50.856167;4.391746;50.856167, 4.391746
PATTIJN;4259;50.891131;4.325106;50.891131, 4.325106
PAUL LEDUC;4555;50.860740;4.403907;50.86074, 4.403907
PECHERIES;4405;50.813225;4.417208;50.813225, 4.417208
PETITE ILE;3858;50.830576;4.320065;50.830576, 4.320065
PICARD;1056;50.864311;4.343639;50.864311, 4.343639
PLACE SAINT-JOB;5031;50.793746;4.366454;50.793746, 4.366454
PLACE SAINT-PIERRE;6153;50.837082;4.395711;50.837082, 4.395711
PLAINE DES SPORTS;1657;50.843200;4.487606;50.8432, 4.487606
PLASKY;3251;50.849891;4.396145;50.849891, 4.396145
POELAERT;6352;50.837219;4.353264;50.837219, 4.353264
POGGE;6364;50.866543;4.375387;50.866543, 4.375387
LONDRES;3623;50.838038;4.368767;50.838038, 4.368767
LONG BONNIER;2815;50.895822;4.366209;50.895822, 4.366209
LONG BONNIER;2855;50.895777;4.364489;50.895777, 4.364489
LOUIS BERTRAND;3409;50.866191;4.386083;50.866191, 4.386083
LOUIS BERTRAND;3453;50.867423;4.386311;50.867423, 4.386311
LOUISE;7518;50.835995;4.354566;50.835995, 4.354566
LOUISE;7530;50.836274;4.354846;50.836274, 4.354846
LOUISE;8321;50.835259;4.354244;50.835259, 4.354244
LOUISE;8322;50.835295;4.354415;50.835295, 4.354415
LOYAUTE;2576;50.876365;4.338163;50.876365, 4.338163
LUXEMBOURG;1233;50.838999;4.372401;50.838999, 4.372401
MABRU;2318;50.874544;4.362615;50.874544, 4.362615
MABRU;2200F;50.874841;4.363013;50.874841, 4.363013
MACHELEN;9704;50.916108;4.438391;50.916108, 4.438391
MADOU;8411;50.849670;4.369179;50.84967, 4.369179
MADOU;8412;50.849895;4.369164;50.849895, 4.369164
MADOUX;5555;50.827387;4.444659;50.827387, 4.444659
MARCEL THIRY;1531;50.855618;4.438982;50.855618, 4.438982
MARICOLLES;4599;50.860098;4.288078;50.860098, 4.288078
MARICOLLES;4657;50.860251;4.288191;50.860251, 4.288191
MARIE-JOSE;5414F;50.806384;4.387635;50.806384, 4.387635
MARIUS RENARD;3610;50.824935;4.281424;50.824935, 4.281424
MASUI;2237;50.869411;4.363255;50.869411, 4.363255
MASUI;6178;50.869168;4.362516;50.869168, 4.362516
MATONGE;3518;50.837085;4.362307;50.837085, 4.362307
MAX WALLER;2665F;50.806607;4.314429;50.806607, 4.314429
MAX WALLER;5720F;50.806418;4.314060;50.806418, 4.31406
MEIR;2223;50.832598;4.301595;50.832598, 4.301595
MEISER;2243F;50.854880;4.398761;50.85488, 4.398761
MELARD;1456;50.842347;4.427376;50.842347, 4.427376
MENNEKENS;6004;50.853893;4.316207;50.853893, 4.316207
MERODE;1136;50.839211;4.398524;50.839211, 4.398524
MERODE;6118;50.839184;4.399972;50.839184, 4.399972
MERTENS;1856;50.831577;4.443672;50.831577, 4.443672
MEYSSE;5702;50.896324;4.351767;50.896324, 4.351767
MICHEL-ANGE;1464;50.845282;4.386558;50.845282, 4.386558
MIRAVAL;4347;50.799796;4.414442;50.799796, 4.414442
MOMMAERTS;3961;50.856880;4.412695;50.85688, 4.412695
MONTGOMERY;0806;50.837456;4.407367;50.837456, 4.407367
MONTGOMERY;2287;50.837987;4.406090;50.837987, 4.40609
MONTGOMERY;6052;50.837987;4.405848;50.837987, 4.405848
MONTGOMERY;8082;50.837590;4.407978;50.83759, 4.407978
MONTGOMERY;2285F;50.838041;4.405536;50.838041, 4.405536
MOONENS;3899;50.848423;4.428846;50.848423, 4.428846
MOORSLEDE;6171;50.877518;4.350310;50.877518, 4.35031
MOORTEBEEK;1201;50.841803;4.286873;50.841803, 4.286873
MUSEE DU TRAM;5272F;50.832330;4.432587;50.83233, 4.432587
MUSEUM;1728;50.835745;4.377171;50.835745, 4.377171
NATATION;3156;50.833084;4.378277;50.833084, 4.378277
NERVIENS;1134;50.839376;4.386655;50.839376, 4.386655
NEUBERGER;4104;50.876344;4.306663;50.876344, 4.306663
OPALE;1516;50.850080;4.398687;50.85008, 4.398687
ORBAN;5757;50.827252;4.327492;50.827252, 4.327492
ORBAN;5757F;50.827279;4.327478;50.827279, 4.327478
OUTRE-PONTS;6169B;50.874022;4.359348;50.874022, 4.359348
PADDOCK;1850;50.833270;4.463591;50.83327, 4.463591
PAIX;2910;50.876993;4.401731;50.876993, 4.401731
PALFYN;4205;50.893945;4.326681;50.893945, 4.326681
PANNENHUIS;8784;50.873570;4.343037;50.87357, 4.343037
PAPENKASTEEL;2703;50.790363;4.340628;50.790363, 4.340628
PARC DES SOURCES;2005;50.834702;4.433542;50.834702, 4.433542
PARC DES SOURCES;2062;50.835259;4.434366;50.835259, 4.434366
PARC LEOPOLD;2927;50.841040;4.378293;50.84104, 4.378293
PARC LEOPOLD;3117;50.839547;4.380607;50.839547, 4.380607
PARC MALOU;1451;50.840560;4.439697;50.84056, 4.439697
PARC MONNET;1196;50.869753;4.288800;50.869753, 4.2888
PARKSTRAAT;9727;50.910192;4.439221;50.910192, 4.439221
PARLEMENT BRUXELLOIS;1778;50.845003;4.351728;50.845003, 4.351728
PATRIE;2917;50.856985;4.390113;50.856985, 4.390113
PAVILLON;5711F;50.869258;4.370997;50.869258, 4.370997
PECHERIES;4452;50.812821;4.417407;50.812821, 4.417407
PENTATHLON;5274F;50.860597;4.401520;50.860597, 4.40152
PERMEKE;3471;50.870600;4.406415;50.8706, 4.406415
PETIT SABLON;6353F;50.839592;4.355847;50.839592, 4.355847
PEUPLIERS;1554;50.852490;4.437387;50.85249, 4.437387
PLACE SAINT-JOB;2108;50.794537;4.366114;50.794537, 4.366114
PLACE SAINT-JOB;5054F;50.794106;4.366355;50.794106, 4.366355
PLATTESTEEN;1235;50.846846;4.348220;50.846846, 4.34822
PLEIADES;3958;50.853885;4.418032;50.853885, 4.418032
POMPIERS-UZ BRUSSEL;1075;50.889865;4.309118;50.889865, 4.309118
PORTE D'ANDERLECHT;2263;50.844749;4.338893;50.844749, 4.338893
PORTE D'ANDERLECHT;6655;50.845082;4.338907;50.845082, 4.338907
PORTE DE FLANDRE;3222;50.853020;4.341841;50.85302, 4.341841
PORTE DE FLANDRE;3260;50.852769;4.342168;50.852769, 4.342168
PORTE DE HAL;2467;50.832597;4.344237;50.832597, 4.344237
PORTE DE NAMUR;3504;50.839080;4.362137;50.83908, 4.362137
PORTE DE NAMUR;8312;50.838280;4.361569;50.83828, 4.361569
PRESSE;3354;50.848699;4.367957;50.848699, 4.367957
PRINCESSE CLEMENTINE;6174B;50.877015;4.354658;50.877015, 4.354658
PRINCESSE ELISABETH;6461F;50.873051;4.376794;50.873051, 4.376794
PRISON;2965;50.822673;4.347876;50.822673, 4.347876
QUAI DES USINES;2300;50.877780;4.366892;50.87778, 4.366892
QUAI DES USINES;2201F;50.878517;4.368753;50.878517, 4.368753
QUARTIER ST-BONIFACE;2964;50.834837;4.364338;50.834837, 4.364338
QUATRE-VENTS;3225;50.849177;4.325570;50.849177, 4.32557
QUATRE-VENTS;3257;50.849177;4.326010;50.849177, 4.32601
RAVENSTEIN;9551;50.817458;4.483043;50.817458, 4.483043
RIBAUCOURT;8462;50.860580;4.339650;50.86058, 4.33965
RIETHUISEN;2508;50.866902;4.320028;50.866902, 4.320028
RIVE DROITE;5906;50.901739;4.408686;50.901739, 4.408686
FERME NOS PILIFS;2823;50.902751;4.386339;50.902751, 4.386339
FETIS;1764;50.833029;4.386241;50.833029, 4.386241
FLAGEY;9952;50.826738;4.372315;50.826738, 4.372315
FLAGEY;3508F;50.827367;4.371875;50.827367, 4.371875
FOREST CENTRE;5915;50.812101;4.318836;50.812101, 4.318836
FOREST NATIONAL;2938;50.810252;4.325279;50.810252, 4.325279
FORESTOISE;2413;50.807026;4.328460;50.807026, 4.32846
FORESTOISE;2454;50.807161;4.328559;50.807161, 4.328559
GARDON;4295;50.812742;4.410511;50.812742, 4.410511
GARE CENTRALE;6442;50.846496;4.359381;50.846496, 4.359381
GARE CENTRALE;6443;50.845966;4.358089;50.845966, 4.358089
GARE DE L'OUEST;3230;50.848852;4.320970;50.848852, 4.32097
GARE DE L'OUEST;8382;50.848879;4.321367;50.848879, 4.321367
GARE DE L'OUEST;8733;50.848609;4.321055;50.848609, 4.321055
GARE DE L'OUEST;3230F;50.848843;4.320970;50.848843, 4.32097
GARE DU NORD;1023;50.860385;4.358896;50.860385, 4.358896
GARE FOREST-EST;2952;50.809127;4.320825;50.809127, 4.320825
GARE VIVIER D'OIE;2109;50.795787;4.372255;50.795787, 4.372255
GAZELLE;2167;50.782155;4.341158;50.782155, 4.341158
GENDARMES;27171;50.799166;4.379405;50.799166, 4.379405
PARVIS DE SAINT-GILLES;0724;50.830035;4.345843;50.830035, 4.345843
PARVIS DE SAINT-GILLES;2402;50.830628;4.344210;50.830628, 4.34421
PATRIE;6258;50.856734;4.391036;50.856734, 4.391036
PATTON;1914;50.817425;4.366482;50.817425, 4.366482
PAUL LEDUC;3468;50.860641;4.403679;50.860641, 4.403679
PAUL LEDUC;3704;50.860542;4.404673;50.860542, 4.404673
PAVILLON;2239;50.869824;4.371196;50.869824, 4.371196
PAVILLON;5741;50.869914;4.371608;50.869914, 4.371608
PAVILLON;5765F;50.869555;4.371338;50.869555, 4.371338
PAVILLONS MEUDON;3013;50.895737;4.399897;50.895737, 4.399897
PEAGE;3283;50.862169;4.426066;50.862169, 4.426066
PEAGE;3287;50.862457;4.426194;50.862457, 4.426194
PENTATHLON;5279F;50.860471;4.401549;50.860471, 4.401549
PEPINIERE;4291;50.786208;4.424880;50.786208, 4.42488
PETER BENOIT;2313;50.895290;4.388269;50.89529, 4.388269
PETERBOS;1206;50.842438;4.296200;50.842438, 4.2962
PETERBOS;2536;50.843418;4.295787;50.843418, 4.295787
PETERBOS;2579;50.844272;4.296382;50.844272, 4.296382
PETILLON;5312;50.829295;4.402321;50.829295, 4.402321
PETILLON;8212;50.827371;4.403981;50.827371, 4.403981
PETITE ILE;3805;50.830458;4.319427;50.830458, 4.319427
PEUPLIERS;1525;50.852876;4.437998;50.852876, 4.437998
PICARDIE;3174;50.879565;4.397072;50.879565, 4.397072
PLACE SAINT-JOB;5054;50.794088;4.366341;50.794088, 4.366341
POMMIER;1487;50.834966;4.280497;50.834966, 4.280497
POPLIMONT;9102;50.872512;4.320434;50.872512, 4.320434
PORTE DE FLANDRE;6604;50.852948;4.341330;50.852948, 4.34133
PORTE DE HAL;8341;50.833594;4.342903;50.833594, 4.342903
PORTE DE HAL;8342;50.833450;4.343030;50.83345, 4.34303
PORTE DE NAMUR;3532;50.839161;4.362279;50.839161, 4.362279
PORTE DE NINOVE;6631;50.849154;4.337867;50.849154, 4.337867
POUCHKINE;4258;50.871072;4.344076;50.871072, 4.344076
PRINCE D'ORANGE;2145;50.781196;4.380889;50.781196, 4.380889
PRINCESSE CLEMENTINE;6122;50.877132;4.353791;50.877132, 4.353791
PRINCESSE ELISABETH;3169F;50.873114;4.376922;50.873114, 4.376922
PRINCESSE ELISABETH;6457F;50.872997;4.378116;50.872997, 4.378116
PRINCESSE ELISABETH;6459F;50.873133;4.376995;50.873133, 4.376995
QUARTIER ST-BONIFACE;3506;50.835143;4.363983;50.835143, 4.363983
QUETELET;3313;50.852798;4.368895;50.852798, 4.368895
QUETELET;9060;50.852574;4.369307;50.852574, 4.369307
RACING;2140;50.792721;4.374056;50.792721, 4.374056
RAEDEMAEKERS;9702;50.908129;4.431668;50.908129, 4.431668
RENE GOBERT;1919;50.806484;4.366326;50.806484, 4.366326
RENIERS;1008;50.882661;4.322002;50.882661, 4.322002
RESERVOIR;2718;50.798383;4.385149;50.798383, 4.385149
RESERVOIR;2759;50.798554;4.384696;50.798554, 4.384696
RESISTANCE;2220F;50.835660;4.311500;50.83566, 4.3115
RIBAUCOURT;5072;50.860418;4.340474;50.860418, 4.340474
RIVE GAUCHE;3014;50.890435;4.390484;50.890435, 4.390484
RODTS;5753;50.790634;4.317837;50.790634, 4.317837
ROFFIAEN;5200;50.819914;4.382631;50.819914, 4.382631
ROGIER;0516;50.856079;4.358598;50.856079, 4.358598
MARLY;3063;50.898433;4.401533;50.898433, 4.401533
MARMOTTE;9164;50.836770;4.498039;50.83677, 4.498039
MASUI;6179;50.869015;4.362715;50.869015, 4.362715
MAX WALLER;2665;50.806607;4.314443;50.806607, 4.314443
MEIR;6810;50.832679;4.301780;50.832679, 4.30178
MEISER;2242F;50.855222;4.397015;50.855222, 4.397015
MEISER;2244F;50.854619;4.398789;50.854619, 4.398789
MEISER;2246F;50.854421;4.398960;50.854421, 4.39896
MERIDIEN;6369;50.856808;4.369349;50.856808, 4.369349
MERLO;5756F;50.799094;4.319417;50.799094, 4.319417
MERODE;6462F;50.839301;4.399631;50.839301, 4.399631
MEUDON;1141;50.845057;4.417284;50.845057, 4.417284
MEUDON;9983;50.844760;4.417568;50.84476, 4.417568
MIDDELWEG;3280;50.883944;4.420792;50.883944, 4.420792
MINNEMOLEN;9626;50.921057;4.409300;50.921057, 4.4093
MIROIR;2573;50.871156;4.323703;50.871156, 4.323703
MONACO;2604;50.812948;4.322708;50.812948, 4.322708
MONT KEMMEL;2408;50.820864;4.338169;50.820864, 4.338169
MONT KEMMEL;2459;50.821115;4.337800;50.821115, 4.3378
MONTANA;6440;50.799580;4.376341;50.79958, 4.376341
MONTGOMERY;2283;50.836997;4.408119;50.836997, 4.408119
MONTGOMERY;6026;50.838023;4.405536;50.838023, 4.405536
MONTGOMERY;9996;50.837483;4.406118;50.837483, 4.406118
MONTGOMERY;2286F;50.837987;4.405848;50.837987, 4.405848
MONTJOIE;1918;50.809810;4.365120;50.80981, 4.36512
MOONENS;3910;50.848450;4.428619;50.84845, 4.428619
MORIS;6162;50.824363;4.350784;50.824363, 4.350784
MOUETTES;1863;50.825020;4.415290;50.82502, 4.41529
POGGE;6303;50.866390;4.375017;50.86639, 4.375017
POMMIER;1484;50.835155;4.280397;50.835155, 4.280397
POMPIERS-UZ BRUSSEL;1003;50.890440;4.309032;50.89044, 4.309032
PONT ALBERT;5911;50.883101;4.385607;50.883101, 4.385607
PORTE DE FLANDRE;6654;50.853272;4.341586;50.853272, 4.341586
PORTE DE NINOVE;3223;50.849657;4.338009;50.849657, 4.338009
PORTE DE NINOVE;6630;50.849504;4.337370;50.849504, 4.33737
PORTE DE NINOVE;3259F;50.849990;4.338392;50.84999, 4.338392
PRES COMMUNS;2311;50.891587;4.381573;50.891587, 4.381573
PRESSE;3358;50.847944;4.367716;50.847944, 4.367716
PRINCE D'ORANGE;2118;50.780773;4.380407;50.780773, 4.380407
PRINCE DE LIEGE;2564;50.847402;4.299104;50.847402, 4.299104
PRINCESSE CLEMENTINE;6174F;50.876997;4.354672;50.876997, 4.354672
QUAI DES USINES;2201;50.878508;4.368739;50.878508, 4.368739
QUAI DES USINES;2300F;50.877771;4.366863;50.877771, 4.366863
QUATRE BRAS;5605;50.820296;4.476976;50.820296, 4.476976
QUATRE-VENTS;3225F;50.849177;4.325570;50.849177, 4.32557
RACING;2137;50.792307;4.374241;50.792307, 4.374241
RADIUM;1514;50.852949;4.391801;50.852949, 4.391801
RAVENSTEIN;9578;50.817530;4.482929;50.81753, 4.482929
REINE ASTRID;1601;50.848055;4.467057;50.848055, 4.467057
RELAIS;4308;50.811687;4.393043;50.811687, 4.393043
RENIERS;1067;50.882760;4.322058;50.88276, 4.322058
RESISTANCE;2220;50.835642;4.311500;50.835642, 4.3115
RESISTANCE;3709;50.836280;4.311485;50.83628, 4.311485
RIETHUISEN;2571;50.868035;4.321050;50.868035, 4.32105
RITTWEGER;1964F;50.797643;4.336198;50.797643, 4.336198
ROBIANO;6417;50.860305;4.371338;50.860305, 4.371338
ROBIANO;6414F;50.860790;4.371324;50.86079, 4.371324
ROBIANO;6419F;50.860979;4.370727;50.860979, 4.370727
ROCHEFORT;2462;50.824414;4.336010;50.824414, 4.33601
ROCHEFORT;5115;50.824360;4.335499;50.82436, 4.335499
GEO BERNIER;3510;50.820157;4.377153;50.820157, 4.377153
GEORGES HENRI;1139;50.842148;4.406718;50.842148, 4.406718
GERGEL;1375;50.851200;4.487797;50.8512, 4.487797
GERMOIR;4303;50.829929;4.378660;50.829929, 4.37866
GILSON;2611;50.794791;4.306642;50.794791, 4.306642
GJ MARTIN;5501;50.836753;4.411540;50.836753, 4.41154
GLOBE;1984F;50.800538;4.337090;50.800538, 4.33709
GLOBE;5816F;50.801068;4.336508;50.801068, 4.336508
GOFFIN;1108;50.866789;4.309019;50.866789, 4.309019
GOFFIN;1199;50.866834;4.308323;50.866834, 4.308323
GOFFIN;1108F;50.866825;4.309047;50.866825, 4.309047
GOSSART;1917;50.811096;4.362452;50.811096, 4.362452
GOSSART;5212;50.811419;4.361587;50.811419, 4.361587
GRAND SABLON;1166;50.841498;4.354399;50.841498, 4.354399
GRIBAUMONT;8102;50.842512;4.418829;50.842512, 4.418829
GRIOTTES;1958;50.780903;4.332410;50.780903, 4.33241
GROELSTVELD;2702;50.789760;4.337820;50.78976, 4.33782
GUEUX;3217;50.847322;4.391117;50.847322, 4.391117
GUILLAUME DE GREEF;2859;50.882324;4.335402;50.882324, 4.335402
GUILLAUME DE GREEF;5081F;50.882612;4.335615;50.882612, 4.335615
GULLEDELLE;3463;50.855561;4.428543;50.855561, 4.428543
HANKAR;2290;50.821967;4.405353;50.821967, 4.405353
HANSEN-SOULIE;5351;50.828207;4.400887;50.828207, 4.400887
HAREN-STIB;3130;50.885501;4.415934;50.885501, 4.415934
HAREN-SUD GARE;2293;50.889837;4.415427;50.889837, 4.415427
HEEMBEEK;5771;50.888810;4.374978;50.88881, 4.374978
HELMET;5867;50.873697;4.387237;50.873697, 4.387237
HELMET;7269;50.871476;4.394609;50.871476, 4.394609
HEROS;5058;50.803542;4.341571;50.803542, 4.341571
HEROS;7503;50.803308;4.341357;50.803308, 4.341357
HEROS;9024;50.803083;4.341827;50.803083, 4.341827
HEYSEL;8824;50.897337;4.335562;50.897337, 4.335562
HEYSEL;9051;50.896771;4.337297;50.896771, 4.337297
HIPPODROME DE BOITSFORT;5418;50.796898;4.397475;50.796898, 4.397475
HOMBORCH;2168;50.779458;4.338791;50.779458, 4.338791
HOPITAL PAUL BRIEN;7270;50.869149;4.384919;50.869149, 4.384919
HOPITAL PAUL BRIEN;5350G;50.868933;4.384692;50.868933, 4.384692
HOUWAERT;3162;50.853203;4.373496;50.853203, 4.373496
HUIT HEURES;1498;50.820497;4.299328;50.820497, 4.299328
HUMANITE;3850;50.810772;4.303471;50.810772, 4.303471
HUNDERENVELD;1116;50.866817;4.281688;50.866817, 4.281688
HUNDERENVELD;5170;50.867042;4.281318;50.867042, 4.281318
JACQUES BREL;1253;50.845021;4.318404;50.845021, 4.318404
JAKOB SMITS;2532;50.841454;4.303457;50.841454, 4.303457
JANSON;6161;50.825541;4.355141;50.825541, 4.355141
JANSON;6428F;50.825784;4.354602;50.825784, 4.354602
JANSON;6430F;50.826144;4.354829;50.826144, 4.354829
JEANNE;3560;50.816920;4.381594;50.81692, 4.381594
JEANNE;5411;50.815958;4.382971;50.815958, 4.382971
JETTE GARE;6800;50.880228;4.330089;50.880228, 4.330089
JETTE GARE;6800F;50.880237;4.330089;50.880237, 4.330089
JOSAPHAT;2915;50.861480;4.392473;50.86148, 4.392473
JOSEPH BAECK;7422;50.852356;4.317387;50.852356, 4.317387
JOURDAN;3158;50.837498;4.381586;50.837498, 4.381586
JULES CESAR;1874;50.834996;4.420567;50.834996, 4.420567
JULES DE TROOZ;6168;50.871613;4.360826;50.871613, 4.360826
JUPITER;2409;50.819596;4.337148;50.819596, 4.337148
KAPEL RUISBROEK;9654;50.781484;4.289119;50.781484, 4.289119
KAPEL RUISBROEK;9680;50.781385;4.289020;50.781385, 4.28902
KATTENBERG;4290;50.790516;4.420007;50.790516, 4.420007
KELLE;1818;50.831356;4.438023;50.831356, 4.438023
KERK MACHELEN;9701;50.912819;4.435513;50.912819, 4.435513
KERK RUISBROEK;9683;50.790337;4.299528;50.790337, 4.299528
KONINGIN FABIOLA;9728;50.911397;4.439720;50.911397, 4.43972
KONKEL;1830;50.842081;4.450888;50.842081, 4.450888
KUFFERATH;4209;50.889030;4.334673;50.88903, 4.334673
LA CHASSE;9011;50.830988;4.389874;50.830988, 4.389874
LA ROUE;8672;50.821420;4.294118;50.82142, 4.294118
PORTE DE HAL;1169;50.834403;4.343214;50.834403, 4.343214
PORTE DE NAMUR;1705;50.839179;4.363826;50.839179, 4.363826
PORTE DE NAMUR;1770;50.839071;4.363414;50.839071, 4.363414
PORTE DE NAMUR;4952;50.838892;4.363074;50.838892, 4.363074
PORTE DE NAMUR;8311;50.838235;4.361399;50.838235, 4.361399
PORTE DE NINOVE;3223F;50.849657;4.338009;50.849657, 4.338009
POUCHKINE;4271;50.870793;4.343550;50.870793, 4.34355
PRES COMMUNS;2364;50.891956;4.382028;50.891956, 4.382028
PRINCE DE LIEGE;2522;50.846278;4.298367;50.846278, 4.298367
PRINCE LEOPOLD;2807;50.882577;4.341384;50.882577, 4.341384
PRINCESSE ELISABETH;6458;50.873132;4.376993;50.873132, 4.376993
PRISON;2950;50.822511;4.346584;50.822511, 4.346584
QUATRE-VENTS;3257F;50.849186;4.326010;50.849186, 4.32601
RADIUM;1565;50.852877;4.391929;50.852877, 4.391929
RAEDEMAEKERS;9726;50.907328;4.432776;50.907328, 4.432776
RENE HENRY;1482;50.836253;4.295330;50.836253, 4.29533
RESISTANCE;2257B;50.835713;4.312224;50.835713, 4.312224
RIBAUCOURT;8461;50.860517;4.339763;50.860517, 4.339763
RIETHUISEN;2519;50.867334;4.320141;50.867334, 4.320141
RIETHUISEN;4154;50.867908;4.318805;50.867908, 4.318805
RING O;1660;50.850306;4.483009;50.850306, 4.483009
RITTWEGER;1964;50.797670;4.336184;50.79767, 4.336184
RIVE GAUCHE;2327;50.890381;4.391323;50.890381, 4.391323
ROBIANO;6418F;50.860395;4.371380;50.860395, 4.37138
RODIN;4304;50.827285;4.381952;50.827285, 4.381952
RODTS;5725;50.790885;4.317808;50.790885, 4.317808
RODTS;7467;50.788980;4.315378;50.78898, 4.315378
ROGIER;0511;50.855702;4.358030;50.855702, 4.35803
ROGIER;0539;50.856097;4.358570;50.856097, 4.35857
MARCEL THIRY;1551;50.854790;4.440301;50.85479, 4.440301
MAREYDE;1841;50.832860;4.446584;50.83286, 4.446584
MARIE-JOSE;6550;50.806680;4.387735;50.80668, 4.387735
MARLOW;2764G;50.800814;4.340910;50.800814, 4.34091
MARLY;3003;50.898370;4.401760;50.89837, 4.40176
MASUI;6123;50.868871;4.362104;50.868871, 4.362104
MATONGE-PORTE DE NAMUR;2967;50.837984;4.362009;50.837984, 4.362009
MAX-PLASKY;3266;50.850952;4.397026;50.850952, 4.397026
MEISER;2247;50.853685;4.397709;50.853685, 4.397709
MEISER;2250;50.853972;4.397823;50.853972, 4.397823
MENNEKENS;6076;50.855790;4.316745;50.85579, 4.316745
MENNEKENS;7421;50.853884;4.316051;50.853884, 4.316051
MERODE;1156;50.839634;4.398226;50.839634, 4.398226
MERODE;8071;50.839544;4.397701;50.839544, 4.397701
MESSIDOR;5060;50.810843;4.346215;50.810843, 4.346215
MICHIELS;4298;50.814776;4.403205;50.814776, 4.403205
MIDDELWEG;3203;50.883513;4.420024;50.883513, 4.420024
MIRAVAL;4348;50.800227;4.414017;50.800227, 4.414017
MIROIR;6865;50.871264;4.324314;50.871264, 4.324314
MIROIR;1014F;50.871012;4.324471;50.871012, 4.324471
MIROIR;6865F;50.871318;4.324328;50.871318, 4.324328
MOENSBERG STATION;1933;50.778935;4.332425;50.778935, 4.332425
MOLIERE;5062;50.816533;4.349794;50.816533, 4.349794
MONACO;2667;50.812876;4.322907;50.812876, 4.322907
MONTALD;1408;50.843986;4.421287;50.843986, 4.421287
MOORSLEDE;6100;50.877554;4.351049;50.877554, 4.351049
MORIS;6109;50.824156;4.350302;50.824156, 4.350302
MUSEE DU TRAM;5273F;50.832276;4.432445;50.832276, 4.432445
MYOSOTIS;7463;50.794765;4.324936;50.794765, 4.324936
MYSTERE;2937B;50.813742;4.330585;50.813742, 4.330585
MYSTERE;2954B;50.813771;4.330839;50.813771, 4.330839
NEERPEDE;3751;50.829214;4.281587;50.829214, 4.281587
