departure,arrival,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2015-12-07 11:33:29.433276,2015-12-07 11:50:09.505874,,,,,,,60.019371,80.041744,119.956096,100.053225,59.97341,80.010881,79.980148,100.002297,80.022882,80.045282,80.042356,79.924906
2015-12-07 11:33:29.433276,2015-12-07 11:42:29.522471,,,,,,,,,,,,60.019371,80.041744,99.954051,100.036735,59.972286,80.008302,60.056706
2015-12-07 11:35:09.413930,2015-12-07 11:57:49.596680,,20.057174,100.013486,80.02439,79.990585,80.073652,59.905627,80.001018,120.08128,99.907246,80.073542,59.955349,80.046953,100.022591,80.014438,79.98905,79.978367,80.048002
2015-12-07 11:42:29.522471,2015-12-07 12:04:29.760098,,19.972845,100.02443,79.983627,60.059637,79.966673,79.967596,80.046953,80.078561,99.958468,59.954348,100.013069,60.028397,120.068673,80.073343,79.894361,60.071925,80.074721
2015-12-07 11:49:49.492303,2015-12-07 12:11:09.666851,,20.013571,100.087801,60.014528,80.277901,79.728752,79.930716,60.051108,100.049068,80.073343,59.930132,80.036154,80.074721,99.927476,80.054682,87.06203,73.183209,59.679356
2015-12-07 11:57:29.577075,2015-12-07 12:19:09.772342,,20.019605,80.080818,80.006534,79.965191,80.036154,59.962224,80.084068,79.917873,100.066858,80.023361,79.92709,79.983499,80.056009,100.046973,60.046547,79.942894,80.029569
2015-12-07 12:04:49.736638,2015-12-07 12:26:49.687544,,20.005144,99.90776,60.052622,80.034544,79.966434,79.999398,79.955244,80.079559,80.975585,78.986856,60.001149,80.055161,99.943766,100.004015,80.03933,79.956173,79.988166
2015-12-07 12:12:29.650350,2015-12-07 12:34:50.049738,,20.01517,100.071823,60.015989,79.990526,79.957075,80.055161,59.958513,80.034381,99.971775,60.011605,79.971161,80.647153,99.336491,80.144258,139.926742,60.09776,80.193805
2015-12-07 12:20:09.699859,2015-12-07 12:43:09.814615,,20.014748,100.064595,79.941561,79.96776,80.034406,60.627753,79.375307,80.088758,99.904357,80.068132,59.99339,99.955215,80.041471,100.04525,79.951354,140.202775,59.837924
2015-12-07 12:27:32.737776,2015-12-07 12:50:30.012748,,16.960949,100.053091,60.285705,99.73975,80.078662,80.193805,79.661802,80.258823,79.87097,80.035441,79.951556,80.035488,99.936118,100.019955,120.095187,80.036189,60.061481
2015-12-07 12:34:50.049738,2015-12-07 12:56:12.935655,,19.692224,100.03535,79.982299,100.014305,60.06933,59.972741,79.998628,79.985321,81.038907,78.95524,60.120995,80.036189,100.046222,79.97858,99.957927,59.949865,63.051794
2015-12-07 12:42:49.863818,2015-12-07 13:05:30.046454,,19.950797,99.985047,61.039181,78.95524,100.004823,80.116449,79.993586,80.005381,100.056359,80.051328,79.895736,61.070915,119.003453,100.002598,79.984046,79.970716,60.096981
2015-12-07 12:50:09.915355,2015-12-07 13:12:29.967180,,20.097393,79.945266,59.956308,80.019674,100.088013,59.901613,81.065038,79.09378,79.896688,60.015583,99.959419,59.995343,120.340581,79.746917,143.002354,76.943095,59.98476
2015-12-07 12:57:29.992058,2015-12-07 13:20:29.984159,,19.941069,119.975819,80.077698,79.926326,80.113127,79.87028,80.393677,79.746917,79.917792,80.046893,59.980764,100.006311,99.972529,80.091637,79.931548,60.027274,119.97244
2015-12-07 13:05:09.896377,2015-12-07 13:26:50.036679,,20.150077,79.948468,60.042049,79.917792,100.100039,80.228927,79.83175,79.845781,80.091637,60.423908,59.612617,79.929839,99.978049,80.096069,79.937954,79.982338,100.023008
2015-12-07 13:12:29.967180,2015-12-07 13:33:50.013482,,19.981536,120.012544,40.02767,79.972691,80.127801,59.907184,79.987553,79.990391,80.093953,79.913115,60.054953,80.000108,100.033641,79.95122,79.990695,80.0349,79.966347
2015-12-07 13:25:10.013671,2015-12-07 13:47:50.116230,,20.0229,99.988017,80.045732,99.978398,80.15331,79.881543,100.001617,79.990007,79.979188,59.995286,80.026898,60.024946,119.993593,80.014655,80.007076,80.018725,79.980668
2015-12-07 13:29:31.027081,2015-12-07 13:51:30.099739,,18.994459,120.055501,60.00653,79.957548,59.972609,80.04334,120.016092,80.155005,79.830539,60.078228,79.908427,80.069153,100.02105,79.980668,79.971798,79.984598,60.027113
2015-12-07 13:35:10.013728,2015-12-07 13:56:50.107007,,19.980919,100.059736,80.018777,80.155005,79.830539,80.036402,80.014655,60.004751,80.026522,79.940059,79.995942,80.046107,100.000701,80.016776,79.985929,80.054782,59.925677
2015-12-07 13:42:30.095106,2015-12-07 14:05:31.112344,,19.943359,100.036518,60.010187,80.054291,99.976255,79.974467,80.007686,100.086324,79.966893,79.952537,80.003384,100.09999,99.937292,80.01524,79.981798,99.92894,61.042077
2015-12-07 13:50:10.123142,2015-12-07 14:10:30.122468,,19.949484,99.998919,80.069699,59.985304,80.054782,79.983645,80.042022,80.919957,78.929036,80.123756,59.907832,80.033375,100.032895,79.999998,80.062813,79.905809,
2015-12-07 13:57:50.104023,2015-12-07 14:24:30.311545,,20.035289,100.987642,78.929036,80.123756,80.037469,79.957276,79.979357,79.999998,80.062813,59.915929,99.988393,79.996406,100.093237,80.335812,99.623371,320.114621,80.027117
2015-12-07 14:04:50.120953,2015-12-07 14:30:30.288111,,20.053538,100.007607,79.921474,140.018896,60.09115,79.980599,100.021707,59.92321,80.016061,80.031018,59.972286,80.041484,99.991506,80.006995,240.128434,119.890465,60.070728
2015-12-07 14:12:30.218924,2015-12-07 14:35:10.299936,,19.975293,100.021707,79.991651,79.964561,79.97684,80.03986,60.17629,79.826363,80.006995,80.003087,80.024646,80.100701,100.043508,79.917685,79.99858,79.930425,120.08282
2015-12-07 14:20:10.261735,2015-12-07 14:42:10.265732,,19.938248,80.188181,79.896264,80.027117,79.878855,80.056536,79.988889,80.008923,79.993894,59.976638,80.210933,79.835766,100.122283,99.897242,79.978019,80.008664,79.997545
2015-12-07 14:28:30.235825,2015-12-07 14:49:50.285436,,20.020753,100.031533,59.987039,59.980639,79.942738,80.101409,80.084326,79.890415,79.950519,80.318965,79.724007,99.976093,99.995858,100.064016,79.996348,99.984953,
2015-12-07 14:35:50.327484,2015-12-07 14:58:30.273696,,20.039419,79.913929,80.020178,80.006205,79.963692,80.015241,59.995661,79.95831,80.086841,60.186532,59.764861,80.007083,99.96695,80.045525,159.984872,119.986964,60.003949
2015-12-07 14:42:30.252699,2015-12-07 15:04:51.320158,,20.033449,99.954177,59.997888,80.065922,79.996348,79.975497,59.970136,100.275088,79.829829,59.856472,80.088057,60.080534,120.118502,79.846023,79.987651,119.974787,81.017099
2015-12-07 14:50:50.310436,2015-12-07 15:14:10.543744,,19.942774,100.044701,80.011793,79.973079,80.093313,79.920736,79.976619,80.062232,79.992396,79.97498,81.017099,79.000537,100.028456,79.902797,80.075774,139.99613,80.219892
2015-12-07 14:57:50.254232,2015-12-07 15:22:10.392926,,20.0426,100.020928,100.010512,99.999739,100.992147,79.000537,79.981832,80.007056,100.018139,80.027787,79.968013,80.042365,99.933715,100.303168,79.747685,80.314841,99.72763
2015-12-07 15:04:51.320158,2015-12-07 15:28:10.413777,,19.052295,99.997148,79.910862,80.276466,79.813447,79.949645,80.077162,79.926421,79.975998,60.04564,80.01825,120.301804,99.72763,100.038163,80.20562,79.814451,99.962617
2015-12-07 15:12:10.320021,2015-12-07 15:34:10.803482,,20.026597,100.197126,79.799713,80.125237,79.884103,59.997658,80.314841,99.72763,80.312773,79.702341,60.066223,79.943827,100.24496,99.784109,80.306223,79.773835,60.276265
2015-12-07 15:17:10.345242,2015-12-07 15:38:50.624801,,20.014361,99.990852,80.314841,59.779354,79.995361,79.981149,80.035505,80.10228,79.854832,80.1605,59.872882,80.306223,100.058492,79.665404,100.096514,60.017591,80.033418
2015-12-07 15:26:30.451160,2015-12-07 15:48:17.506978,,20.107785,99.876926,79.943404,80.111246,80.000104,60.321249,79.665404,80.051513,80.062592,80.033418,60.006259,79.778894,100.095965,80.01754,100.040288,80.035406,66.907825
2015-12-07 15:30:50.457618,2015-12-07 15:53:10.653239,,20.032903,99.944913,80.368048,79.678668,80.141601,59.824751,80.170973,80.038386,79.84216,60.005898,80.01754,79.946271,120.063267,79.973507,80.062254,100.222471,79.86201
2015-12-07 15:36:30.573792,2015-12-07 15:59:50.587964,,20.049959,79.885769,80.180972,79.813143,79.955496,80.143223,59.873191,100.069604,100.014052,59.947303,80.062254,100.222471,102.815099,96.99091,120.082577,99.947587,59.960562
2015-12-07 15:42:30.551789,2015-12-07 16:04:10.679714,,19.95413,80.01754,79.946271,80.114616,86.922632,73.030448,80.061226,79.969116,83.03856,77.002271,60.012869,80.058347,99.947587,79.942194,100.087917,80.938979,59.083222
2015-12-07 15:48:30.562051,2015-12-07 16:10:30.662621,,19.944453,100.100786,80.183939,59.849308,99.946077,80.034854,60.04084,82.965917,77.198816,99.76532,60.126778,79.959132,99.949928,100.053651,80.054531,79.939538,59.986702
2015-12-07 15:55:30.602247,2015-12-07 16:17:50.644883,,20.019221,99.971242,60.231283,99.745603,80.036668,80.018669,59.999594,100.022602,80.034721,80.054531,79.939538,80.037936,99.942173,80.003955,80.063866,99.954532,59.966502
2015-12-07 16:01:50.657513,2015-12-07 16:24:10.732704,,20.061626,79.959132,80.165668,79.836158,79.954255,80.029482,79.980746,80.004627,100.013868,60.262591,79.778939,79.973776,101.050597,98.931389,80.009656,80.071197,79.991484
2015-12-07 16:07:50.634257,2015-12-07 16:29:30.859627,,20.102124,79.939538,80.037936,60.107053,79.842167,80.002284,80.146451,99.826327,80.091977,59.916706,81.051499,59.000585,120.0338,80.103962,79.979286,80.10007,79.943605
2015-12-07 16:14:10.925666,2015-12-07 16:35:50.837109,,19.739693,80.146451,79.866505,60.063708,99.904797,60.062744,100.015893,60.286282,80.038125,99.779518,60.039513,80.073723,99.998717,79.855851,80.061641,80.328559,79.649723
2015-12-07 16:21:11.698319,2015-12-07 16:43:50.916963,,18.971704,100.013663,80.142653,60.010327,79.979286,60.118162,79.884242,80.122979,79.855851,60.040507,79.937665,120.012526,100.031223,80.100031,100.045717,79.926184,100.025924
2015-12-07 16:26:30.829382,2015-12-07 16:49:11.140088,,19.98657,100.124978,59.918697,80.000163,99.998351,60.04384,79.898764,100.040032,59.992416,80.131118,79.999533,59.978255,119.97558,80.256962,139.754668,60.045089,80.16569
2015-12-07 16:32:50.837693,2015-12-07 16:54:50.964355,,20.021134,99.941918,60.036364,99.996084,80.131118,59.89772,80.080068,80.023635,99.988564,59.995533,79.966983,80.057584,99.967598,80.038525,79.983837,79.962095,80.037902
2015-12-07 16:39:50.862031,2015-12-07 17:01:10.996095,,20.101813,79.958669,80.023618,59.970832,80.032868,79.966983,60.009689,79.989378,120.06464,60.001982,59.990761,80.076687,119.927544,60.037427,79.982639,80.007365,79.991169
2015-12-07 16:45:50.969231,2015-12-07 17:07:30.947150,,20.502918,99.502249,59.941483,80.061653,79.953222,60.047706,79.972324,79.991589,80.218813,79.814723,79.938851,80.094382,80.029487,99.989039,79.95491,79.997524,79.967046
2015-12-07 16:51:50.982503,2015-12-07 17:13:51.184665,,19.981855,99.986428,79.991589,80.218813,79.814723,59.951353,80.083717,100.02765,59.9196,80.028889,80.109313,79.901586,100.049379,79.956353,80.021115,80.085827,80.073972
2015-12-07 16:58:30.997561,2015-12-07 17:21:11.012068,,19.929703,80.083717,79.986238,79.961012,80.028889,80.109313,79.901586,100.049379,79.956353,80.021115,80.085827,60.004302,120.553289,99.426749,119.915693,40.059042,79.9423
2015-12-07 17:04:50.982580,2015-12-07 17:27:51.070890,,19.995714,100.019725,60.024652,79.978626,80.052357,59.963714,79.968676,80.079945,100.180753,79.848291,79.972517,80.002218,119.964718,120.023544,79.972667,80.058368,79.981825
2015-12-07 17:11:11.024866,2015-12-07 17:34:31.054782,,19.992502,79.968676,80.079945,80.602295,79.35975,60.078525,79.904167,100.033346,59.990414,80.059285,79.93736,80.008297,100.051603,139.983774,79.97117,80.03447,119.974337
2015-12-07 17:17:31.059003,2015-12-07 17:43:31.111369,,20.047556,79.904167,100.033346,59.990414,80.059285,79.93736,80.008297,79.966238,80.09451,59.981929,280.060001,139.992325,99.907087,100.020764,60.01718,80.042053,79.989854
2015-12-07 17:23:30.997620,2015-12-07 17:48:11.134316,,20.06041,99.992295,79.960006,60.060559,79.997405,80.027876,79.978893,100.122615,99.872205,159.974867,80.065397,99.969314,100.012777,79.985575,80.044059,79.981739,100.030704
2015-12-07 17:30:51.057388,2015-12-07 17:52:51.091670,,19.988587,80.03447,80.023077,79.966362,80.064547,79.91032,80.065397,80.023659,99.987708,39.970981,59.985318,80.044059,100.003141,99.997301,80.003237,79.970819,99.995299
2015-12-07 17:38:51.035576,2015-12-07 18:00:31.233907,,20.074572,80.023659,99.987708,99.956299,80.044059,59.9642,80.028503,80.01013,80.015681,100.042619,39.949927,59.993849,99.971849,80.101478,99.979331,59.968794,80.085673
2015-12-07 17:46:31.103612,2015-12-07 18:06:11.256112,,20.021402,99.997301,60.018921,79.991301,60.050469,79.952813,60.013647,80.017914,60.032729,59.969529,99.978596,40.026453,99.95836,60.002655,100.044647,59.960751,60.115012
2015-12-07 17:53:31.126782,2015-12-07 18:15:11.311042,,20.004103,100.036495,60.032729,99.979331,59.968794,80.085673,80.101416,79.872591,79.996969,79.95993,60.080479,79.950277,99.974471,100.010721,80.028073,80.028795,60.073413
2015-12-07 17:58:31.445099,2015-12-07 18:19:11.357965,,39.703135,60.161466,79.823347,80.021773,60.10144,79.88484,60.115012,79.926981,80.076067,59.91088,60.06749,99.968728,100.031371,60.073413,80.048025,59.95279,100.046108
2015-12-07 18:03:31.207927,2015-12-07 18:26:11.324670,,20.048333,100.001391,59.953045,80.014185,79.970105,80.001936,79.990614,80.04857,80.057928,140.062527,79.887457,100.05544,79.955516,80.061039,79.974045,79.981844,60.052768
2015-12-07 18:08:51.259160,2015-12-07 18:18:31.300722,,19.935826,139.985775,300.178306,119.941655,,,,,,,,,,,,,
2015-12-07 18:17:11.233388,2015-12-07 18:40:51.350150,,20.078469,139.987601,99.976117,120.084211,39.913083,59.999033,80.001668,120.108146,59.939403,99.999178,59.991092,99.988802,100.027448,79.943053,80.126899,79.97797,79.974589
2015-12-07 18:21:51.252437,2015-12-07 18:44:51.333229,,20.061748,99.975873,79.981844,60.052768,79.978618,60.078428,119.94682,79.983602,79.97434,80.051811,100.007686,80.005816,100.030382,79.951862,120.072176,79.986271,59.940747
2015-12-07 18:27:31.303288,2015-12-07 18:49:31.543093,,60.078428,59.939403,99.999178,59.991092,59.975089,80.051811,80.018888,79.976892,80.022515,100.036045,39.957521,100.056061,79.986271,99.944898,60.043296,80.043713,100.118704
2015-12-07 18:33:11.286478,2015-12-07 18:56:51.516067,,40.013713,120.056986,79.976892,140.041492,79.974589,60.0216,79.99916,99.962319,60.051824,120.039336,40.046056,80.034381,99.99568,100.074383,79.925391,79.977001,60.038786
2015-12-07 18:41:11.362401,2015-12-07 19:02:51.547881,,20.033789,99.97472,40.021572,99.944898,60.043296,80.043713,60.419647,139.649471,20.006999,79.957176,100.042598,79.977001,80.220505,79.799439,100.042168,80.045426,79.963062
2015-12-07 18:46:11.409183,2015-12-07 19:07:51.514172,,19.971493,80.043713,100.118704,99.950414,20.006999,100.074383,59.917912,80.06714,79.956126,79.974239,79.999072,80.0152,100.027202,79.974604,80.033919,80.008706,79.965163
2015-12-07 18:52:31.456076,2015-12-07 19:14:31.860373,,20.001606,80.035119,80.06714,79.956126,79.974239,79.999072,80.0152,80.019945,79.961709,60.133773,79.931854,79.973866,100.018913,80.025667,99.964816,61.030841,99.294411
2015-12-07 18:59:11.569487,2015-12-07 19:20:51.559318,,19.919891,100.052628,59.982517,79.961709,60.133773,59.884789,80.024929,79.986168,100.143071,79.875485,80.001752,80.088502,99.945491,79.962383,80.063397,79.966157,79.997189
