departure,arrival,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2015-12-07 11:33:25.249267,2015-12-07 12:09:25.600454,,,,59.998174,159.99758,180.021226,100.011616,40.329121,79.699228,60.066259,99.92655,100.022047,160.075008,100.060168,100.039858,139.920788,102.136486,77.984168,22.968305,76.970849,80.235618,59.881925,100.007611,100.021852,80.042415,79.934335,,,,
2015-12-07 11:33:25.249267,2015-12-07 11:54:25.425365,,,,,,,,,,,,19.974406,120.077932,99.948538,99.982918,120.085057,80.288866,159.740974,19.940319,80.06974,79.963051,59.944091,80.179839,79.927614,80.027148,80.025605,,,,
2015-12-07 11:33:25.249267,2015-12-07 11:51:45.372612,,,,,,,,,,,,,,,,,79.966287,100.197109,59.83748,99.982918,100.094149,59.950653,100.026021,100.044074,59.934997,120.038113,59.944091,40.14456,80.043423,39.91947
2015-12-07 11:44:25.293363,2015-12-07 12:08:25.624727,,,20.079108,79.910484,140.041321,120.120722,99.951045,120.100059,19.929263,80.144583,141.983428,58.997375,98.949021,160.094469,100.007611,80.021953,120.000922,,,,,,,,,,,,,
2015-12-07 12:06:05.666029,2015-12-07 12:46:25.885134,,,39.957675,120.06892,139.950996,179.989485,59.970012,80.086037,139.953921,80.058348,100.01407,140.086911,79.967418,120.000687,79.999077,100.01592,60.127093,79.871054,40.379778,80.050448,79.566203,40.018005,80.052794,99.955258,80.015299,120.029162,59.961832,39.971238,60.11106,39.990404
2015-12-07 12:11:05.643620,2015-12-07 12:27:05.702428,,,,,,,,,,,,,,,,,,,,100.089414,79.900071,79.993688,80.023498,119.992784,180.072418,140.086911,19.917742,60.049676,39.936852,59.995754
2015-12-07 12:19:05.667720,2015-12-07 13:04:46.050698,,,60.033703,79.987383,220.00065,220.08013,100.01592,60.127093,120.250832,119.618642,99.970428,80.040154,200.0143,100.051747,99.97539,120.095677,60.010271,100.0515,61.158587,38.820037,99.910836,100.260346,99.878918,200.01202,39.951082,100.084061,20.085372,79.887943,60.009956,
2015-12-07 12:28:45.769586,2015-12-07 12:42:05.931659,,,,,,,,,,,,,,,,,,,,120.05252,79.982429,59.932331,100.477013,59.655153,59.929055,120.00734,60.000712,80.015299,39.985517,20.124704
2015-12-07 12:29:25.733902,2015-12-07 13:09:26.135472,,,60.051604,60.127093,140.858264,219.530973,139.504303,80.015299,39.985517,140.005477,100.082298,39.990404,140.060893,121.2041,99.072647,119.775015,59.991732,99.970979,19.986986,80.197847,80.901697,58.98406,80.121709,79.887943,80.118037,119.926025,39.988801,40.008529,60.053338,
2015-12-07 12:43:45.821793,2015-12-07 13:10:46.128454,,,59.961877,100.101464,261.264993,178.868432,99.970962,99.970979,100.184833,59.886951,160.120515,99.916696,140.036354,99.974929,80.054694,79.992982,,,,,,,,,,,,,,
2015-12-07 12:54:46.141346,2015-12-07 13:10:06.100271,,,19.967702,59.925025,299.997017,199.964872,120.109887,99.974929,120.019493,,,,,,,,,,,,,,,,,,,,,
2015-12-07 13:16:06.091150,2015-12-07 13:54:06.289658,,,,,,20.050737,180.014009,60.000617,139.975953,140.006813,99.997359,60.072238,180.048579,139.988425,119.933361,120.015408,80.018408,100.024262,59.99581,80.073464,100.023234,59.939739,99.982167,79.998927,80.061086,80.055392,40.663086,39.226762,59.983663,60.049009
2015-12-07 13:16:06.091150,2015-12-07 13:36:26.205488,,,,,,,,,,,,,60.016168,120.033827,100.078438,59.986923,59.92596,119.977612,40.075676,59.968298,80.054824,40.006143,79.930538,100.097363,100.00296,39.963947,39.970815,60.096375,19.91536,40.013111
2015-12-07 13:16:06.091150,2015-12-07 13:29:26.175502,,,,,,,,,,,,,,,,,,,,60.016168,120.033827,20.014751,80.063687,139.884192,80.006872,60.075107,59.968298,60.11562,59.945347,59.960483
2015-12-07 13:16:26.141887,2015-12-07 13:59:46.367154,,,39.965431,120.033827,219.991321,160.053288,140.023122,40.006143,159.963829,120.067032,59.924803,80.106334,139.924772,181.03867,99.066134,100.023234,59.939739,119.955553,40.055646,79.984392,79.983562,39.999189,80.056851,99.984899,79.978599,80.638281,59.46433,39.966499,60.030165,19.999622
