departure,arrival,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2015-12-07 11:33:35.190993,2015-12-07 12:09:35.363006,,,,,,,,20.030124,40.004712,100.031729,99.992946,60.053211,79.957156,140.092903,39.88226,80.009092,120.459672,99.551505,81.029518,198.991939,119.99408,60.033936,80.982654,118.984431,80.065741,59.950173,99.985529,60.074401,79.965234,99.970131,140.078936
2015-12-07 11:33:35.190993,2015-12-07 11:56:35.341560,,,,,,,,,,,,,,,,,100.039998,79.998122,99.995912,100.031951,100.038618,159.948621,100.10496,59.887936,80.019192,60.070421,40.013798,100.253766,39.721561,99.999443,160.026268
2015-12-07 11:33:35.190993,2015-12-07 11:46:15.546429,,,,,,,,,,,,,,,,,,,,,,,,20.030124,60.049123,59.977032,139.977753,80.092535,59.982417,239.945149,100.301303
2015-12-07 11:50:55.286493,2015-12-07 12:29:55.361564,,20.02516,60.004196,19.952512,80.046931,20.069501,99.920983,40.035784,40.94687,118.984431,80.065741,39.944832,60.117704,99.886692,40.265887,79.732551,200.018414,60.043645,100.993783,118.966407,100.094867,80.000153,79.938251,79.984201,100.051881,60.024684,99.913094,40.064775,80.006908,79.995073,159.97916
2015-12-07 11:39:15.217299,2015-12-07 12:14:55.347553,,,40.039677,20.003895,20.039106,59.995617,19.970606,79.969834,80.009092,139.991985,100.072122,40.017491,59.99123,80.276334,39.721561,99.999443,40.077838,79.912646,60.090782,99.979759,59.925359,140.032575,99.954594,80.023666,120.012091,60.068491,59.886752,60.082861,100.016023,139.929788,60.039036
2015-12-07 12:13:35.310501,2015-12-07 12:56:35.499420,,19.998016,60.039036,20.071984,59.872706,60.065785,19.964169,80.028114,159.990477,139.97486,80.085121,59.967022,80.022551,120.009485,39.979175,80.096242,139.997594,79.963862,100.047945,139.969635,160.056473,39.960156,60.039232,40.352525,99.665064,39.996843,39.940867,100.010956,100.083374,199.948456,159.991194
2015-12-07 12:02:15.401138,2015-12-07 12:45:15.544027,,,59.873166,40.013526,40.265887,79.732551,40.027415,120.076283,79.97274,80.020646,159.925165,20.022084,80.072783,119.918813,60.05065,59.953142,259.989659,60.070966,119.971856,120.03379,59.969304,60.146628,79.903398,59.994568,140.105205,60.05445,59.90537,99.983097,119.992335,60.039005,180.058407
2015-12-07 12:24:55.386614,2015-12-07 12:27:15.382404,,20.014155,59.967022,39.990679,20.023934,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-07 12:28:55.392260,2015-12-07 13:04:55.560196,,,,,,,,59.969304,60.146628,99.861798,100.249371,59.817339,120.008787,80.007258,40.001535,119.992335,80.024294,80.006874,100.008662,99.978995,80.013058,40.034831,80.046441,59.983276,79.951717,60.013463,59.988899,80.094677,59.889143,260.051891,200.02736
2015-12-07 12:41:15.446615,2015-12-07 13:09:55.574813,,,,,,,80.024294,120.073041,99.933075,100.008888,80.027416,80.046441,59.983276,100.071254,59.93159,59.93883,100.065517,99.96247,120.066353,99.959497,140.048346,80.007847,100.006586,60.025787,79.94769,,,,,,
2015-12-07 13:00:35.579060,2015-12-07 13:10:55.568921,,19.983424,60.033179,19.942894,20.051742,59.947389,40.036696,100.020366,79.947694,100.0272,60.005169,59.994108,,,,,,,,,,,,,,,,,,,
