departure,arrival,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
2015-12-07 11:33:28.581758,2015-12-07 12:14:08.838717,,,,,,,20.047118,99.943821,59.985913,60.0041,100.000063,60.001981,119.997307,99.990614,80.026717,119.982007,60.019814,120.284627,139.722385,99.973061,40.047658,100.293239,59.695559,80.030431,79.976767,80.074056,119.964823,160.019236,60.013538,100.013743,40.010578,100.027751,39.938587,140.171465,,
2015-12-07 11:33:28.581758,2015-12-07 12:03:28.643819,,,,,,,,,,,,,,,,119.990939,79.946687,80.076606,139.947368,100.018703,120.078095,79.939952,80.090867,79.910238,100.002971,80.131937,99.869435,180.00977,40.306857,79.793198,59.932792,60.038031,59.940505,160.03711,,
2015-12-07 11:33:28.581758,2015-12-07 11:56:08.604038,,,,,,,,,,,,,,,,,,,79.964443,80.077519,139.885027,80.047059,60.034165,59.988795,100.28609,59.786847,100.963436,139.028012,59.947094,140.092929,59.902382,79.97573,20.071853,99.970899,,
2015-12-07 11:33:28.581758,2015-12-07 11:47:28.627376,,,,,,,,,,,,,,,,,,,,,,,20.047118,139.994844,99.963166,20.009104,79.967349,100.051027,80.394589,39.549282,39.994438,80.026717,20.000716,120.047268,,
2015-12-07 11:33:28.581758,2015-12-07 11:44:28.651703,,,,,,,,,,,,,,,,,,,,,,,,,60.00802,59.982919,100.228604,79.707446,60.054592,100.051027,59.947695,59.996176,80.093466,,,
2015-12-07 11:36:28.558610,2015-12-07 12:24:08.657854,,,,,,,160.004163,100.027198,59.988795,59.990422,140.010204,140.047984,119.962869,100.125876,79.872104,140.020719,59.986382,160.001286,119.982833,100.02518,100.061908,99.961922,60.061357,99.957043,80.054059,100.027751,79.977613,180.018363,79.95101,119.982072,60.043671,60.068266,79.907543,119.980651,,
2015-12-07 11:42:08.562061,2015-12-07 12:22:28.717532,,,,,,,200.018047,80.090867,59.94152,119.971689,60.048595,99.955446,120.044914,99.970899,39.975747,120.048388,139.99578,100.047921,100.06303,99.928151,100.061695,99.976164,139.966338,140.171465,60.312002,59.549411,100.060331,99.94902,59.985496,120.022555,,,,,,
2015-12-07 11:48:28.643151,2015-12-07 12:33:28.742319,,,,,,,119.968286,80.071737,59.902382,79.97573,100.03404,40.306857,79.793198,119.970823,59.940505,160.03711,60.091085,119.954908,120.892154,79.06282,120.022466,200.483467,119.541666,61.03094,198.926102,60.068105,99.940322,100.021865,60.064052,120.014458,19.965872,59.99914,60.075111,139.943967,,
2015-12-07 11:54:48.608944,2015-12-07 12:39:28.753776,,,,,,,260.118231,99.879534,120.065165,100.06303,79.916398,99.969334,100.47022,119.637809,39.938587,140.171465,39.843499,160.027499,200.059945,99.947872,220.023367,99.942722,60.074608,119.986703,80.006305,40.96612,78.993218,140.032924,60.04466,119.965617,,,,,,
2015-12-07 12:04:48.676711,2015-12-07 12:48:48.869558,,,,,,,199.970144,99.997931,80.083879,79.977613,100.132439,39.843499,119.993435,99.960325,40.042631,100.091053,79.907543,119.980651,120.083045,99.942722,180.061311,139.945524,80.212657,79.89842,99.986626,60.054131,59.911486,100.031993,80.016933,103.027554,37.043729,59.922108,60.078732,119.994733,,
2015-12-07 12:05:48.651302,2015-12-07 12:57:49.896372,,,120.073448,119.920036,160.061492,100.132439,99.858345,100.012653,79.948008,60.043671,99.948033,80.099184,79.909243,80.059228,40.023817,99.942722,60.074608,119.986703,101.015642,119.142539,159.818825,80.120352,79.953253,120.018062,143.016651,56.969633,160.031306,80.0145,99.990858,99.981681,40.017604,80.048244,79.956901,121.055389,,
2015-12-07 12:18:28.635976,2015-12-07 13:04:08.913963,,,,,,,260.112635,79.909243,60.020732,60.062313,60.000477,100.016853,119.986703,80.006305,59.939219,140.11758,99.913902,160.073605,139.979929,80.027623,159.953262,60.076335,79.925539,140.078322,60.018009,60.00425,159.998274,60.071462,60.00106,139.889969,60.080779,39.9727,80.013148,80.027759,,
2015-12-07 12:28:48.758229,2015-12-07 13:04:28.852696,,,,,,,160.032767,119.951323,60.160794,79.89842,79.920405,120.07628,119.987551,100.026255,59.96987,80.017995,59.956468,120.039699,160.040497,40.120419,99.878866,80.048244,59.973004,60.071462,80.967824,58.920121,100.113057,79.919774,60.03688,99.966492,,,,,,
2015-12-07 12:35:48.801533,2015-12-07 13:09:28.875540,,,,,,,199.996685,119.987551,20.001133,80.025122,99.96392,120.096843,99.923269,100.033968,60.006529,60.018009,160.02952,79.956901,121.055389,118.923205,160.06827,80.070733,59.872042,80.072942,59.967896,79.993195,60.010885,,,,,,,,,
2015-12-07 12:42:08.775472,2015-12-07 13:07:28.895313,,,,,,,80.027623,139.992998,100.048229,80.025236,119.966995,20.058432,119.940853,80.048244,59.973004,60.071462,80.967824,118.923205,100.053479,140.085524,139.944984,79.991749,,,,,,,,,,,,,,
2015-12-07 12:49:48.830024,2015-12-07 13:10:08.846761,,,60.006529,99.981681,120.065848,59.973004,259.962491,100.053479,80.013148,80.027759,119.989601,59.967896,140.00408,39.971221,,,,,,,,,,,,,,,,,,,,,,
2015-12-07 12:56:28.928548,2015-12-07 13:10:48.912128,,,,,,,,99.921096,99.969933,80.054564,80.013706,80.070733,80.145728,59.799256,40.017719,79.993152,40.024606,119.973087,,,,,,,,,,,,,,,,,,
2015-12-07 14:11:49.185969,2015-12-07 14:15:49.206348,,20.032196,39.962581,120.02086,60.004742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-07 13:13:48.920487,2015-12-07 13:53:09.070225,,,,,,,,,,,139.992895,20.011433,160.053873,19.956586,100.302169,79.721872,59.959944,160.002601,140.037986,160.068013,140.164879,99.739037,59.993166,121.060148,119.061149,80.039145,79.948059,80.017302,60.096317,159.923802,59.997755,40.029032,79.984138,139.988437,,
2015-12-07 13:13:48.920487,2015-12-07 13:44:29.024677,,,,,,,,,,,,,,,,,139.992895,20.011433,160.053873,79.965231,100.013724,140.007893,119.974677,180.032311,120.001036,99.961249,60.000343,140.103522,60.000591,99.985699,60.021274,59.992423,80.026104,119.959912,,
2015-12-07 13:13:48.920487,2015-12-07 13:36:08.924941,,,,,,,,,,,,,,,,,,,,,320.058201,59.992841,60.265914,119.683659,80.044434,60.015587,80.018968,79.934372,160.028229,40.010868,99.961249,20.257929,59.814536,99.917667,,
2015-12-07 13:13:48.920487,2015-12-07 13:28:08.934463,,,,,,,,,,,,,,,,,,,,,,,,,139.992895,180.065306,19.956586,100.302169,59.7202,79.961616,60.046277,60.015587,59.95909,99.99425,,
2015-12-07 13:13:48.920487,2015-12-07 13:20:28.943919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.992895,20.011433,60.018131,100.035742,79.965231,,
2015-12-07 13:19:08.978688,2015-12-07 13:58:29.106365,,,,,,,,,,79.965231,100.013724,119.975935,119.988282,120.012603,40.046852,119.981377,160.230046,119.753418,100.033978,80.054575,120.029841,60.020833,59.979382,119.959912,80.010364,80.047323,59.913255,140.596761,59.501219,99.976626,60.047758,60.080957,59.919761,139.987664,,
2015-12-07 13:20:08.971529,2015-12-07 14:05:29.217041,,,,,,,159.948186,100.045821,60.015587,59.95909,99.99425,160.028229,139.972117,20.257929,59.814536,99.917667,60.055193,120.04483,120.013697,60.024411,139.961605,140.052623,99.939571,120.575509,119.510176,60.002551,100.093833,99.919848,80.077943,99.935359,40.012736,79.977187,59.968241,160.126787,,
2015-12-07 13:28:28.959846,2015-12-07 14:14:09.379039,,,,,,,279.974963,140.011347,80.066576,100.021977,120.029841,120.000215,99.985979,99.984297,60.042259,79.918319,60.125766,99.960403,160.023319,100.093833,159.970758,99.944025,60.031103,79.977187,59.968241,80.066897,80.05989,79.866241,80.108866,99.941858,40.074618,79.977345,20.032196,120.160874,,
2015-12-07 13:34:48.968163,2015-12-07 14:20:49.265742,,,,,,,201.016926,179.053572,60.024411,119.987672,120.008255,79.974334,100.088052,120.046784,39.889635,100.047303,60.080431,99.933163,220.013389,80.012475,80.378046,99.63454,60.032277,99.893854,80.108866,79.953329,80.01654,80.056148,120.160874,99.827309,40.074947,79.929211,59.966939,120.088297,,
2015-12-07 13:44:29.024677,2015-12-07 14:27:29.291568,,,,,,,300.072973,100.070519,59.943785,99.990939,59.992637,100.020683,80.053485,99.944025,79.999896,80.024957,39.951678,80.066897,159.926131,40.04494,140.005784,80.035075,60.049084,79.958601,100.158963,59.94629,99.928487,79.980193,80.03861,99.993171,60.087186,59.944055,79.968015,120.069832,,
2015-12-07 13:50:29.592380,2015-12-07 14:35:49.392289,,,59.501219,120.011508,60.080431,59.90288,20.062052,120.019228,60.001533,79.947548,80.040648,79.930827,80.066897,80.05989,79.866241,120.266332,59.784392,120.051963,80.04401,99.971627,100.079689,99.984521,59.924883,80.03861,79.963739,80.116618,99.937983,160.043919,100.106837,119.84236,60.047857,39.979647,79.970835,100.153185,,
2015-12-07 13:56:09.118701,2015-12-07 14:39:29.246374,,,,,,,180.044944,99.949974,60.008394,100.027935,59.99323,139.940104,80.108866,99.941858,60.028011,80.056148,79.958601,100.158963,139.867614,79.974102,100.051864,119.990019,120.047272,160.013998,99.989547,60.003714,119.936728,80.351662,99.689611,120.119527,39.924279,60.023604,59.927104,,,
2015-12-07 14:01:09.144565,2015-12-07 14:49:09.302724,,,80.378046,99.63454,60.032277,99.893854,140.06945,100.009285,60.023952,80.04401,60.14906,99.827309,20.075671,79.921324,40.062473,99.942617,60.057309,140.043924,99.937983,100.012718,120.010624,120.02198,39.947794,120.321484,119.763362,80.129295,159.890482,100.020943,79.945397,120.058363,39.927575,60.000486,59.989119,140.015453,,
2015-12-07 14:12:49.180746,2015-12-07 14:59:09.334744,,,,,,,140.154983,99.855612,60.019165,100.002516,80.05272,99.953586,120.047272,99.977456,80.047512,119.985624,139.933395,120.060333,120.121369,119.864441,240.050802,99.947618,60.043598,79.999404,80.328057,59.845212,79.832967,99.97892,60.032458,100.026961,99.948064,20.035461,79.995867,120.012625,,
2015-12-07 14:55:49.326252,2015-12-07 14:59:49.296185,,19.992809,60.003058,59.983337,99.990729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-07 14:17:29.203343,2015-12-07 15:05:09.390866,,,,,,,180.025966,79.963739,100.123973,59.949579,99.977456,80.047512,219.949197,100.027504,40.224009,79.759582,80.183749,139.883661,100.006902,99.98136,140.062559,159.91718,100.2009,139.872378,79.955217,60.097784,139.877241,160.014665,80.028561,79.971004,40.030312,40.052045,59.958395,120.045093,,
2015-12-07 14:23:49.265560,2015-12-07 15:09:49.452348,,,,,,,119.952106,100.073902,59.979423,60.006201,220.285057,99.689611,100.203046,119.864364,59.927104,100.052294,79.997469,140.001529,159.979183,100.025875,140.013588,79.997143,79.979359,100.033438,139.979204,40.215606,79.841767,99.951825,80.031119,100.04025,39.991981,60.077166,79.938265,120.058913,,
2015-12-07 14:36:29.454906,2015-12-07 15:18:29.554506,,,,,,,,99.826308,79.96516,80.119957,79.945397,99.96707,100.004167,119.993884,40.194572,159.889128,119.952906,159.977336,40.02827,119.986395,159.999565,100.093377,39.947375,100.04025,79.983895,59.988905,120.067678,100.017727,59.920668,120.068752,40.01925,59.969784,60.042997,120.088827,,
2015-12-07 14:41:29.293379,2015-12-07 15:25:49.825716,,,,,,,99.99585,100.008437,60.000486,140.173269,119.842452,100.006715,80.092962,79.845492,80.06721,139.979204,80.028561,99.967636,120.04412,100.04025,79.983895,120.132191,99.950239,119.912548,80.119058,79.968944,100.099086,99.912027,81.01979,119.363381,40.126761,59.808977,59.945476,120.09732,,
2015-12-07 14:48:09.471421,2015-12-07 15:32:09.723817,,,,,,,139.88065,79.968517,59.992867,159.977336,100.031328,59.983337,80.028561,60.003479,59.997837,140.406559,59.644131,139.9728,120.067678,79.952603,120.113496,79.941048,80.030847,100.063041,100.02697,59.973143,120.119194,60.185075,59.767559,100.351144,39.875095,59.831484,120.034593,200.032024,,
2015-12-07 14:49:49.259768,2015-12-07 14:58:09.305456,,,60.100781,99.97146,80.010718,99.948064,160.014665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-07 15:05:09.390866,2015-12-07 15:09:49.452348,,19.987138,120.052065,80.027461,59.994818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-07 15:00:09.362829,2015-12-07 15:40:09.847914,,,,,,,,,59.938824,60.085725,80.02225,119.968376,99.980819,80.107354,59.955576,120.016148,60.054699,99.939765,120.119619,79.947551,100.984266,99.195925,82.911243,77.008508,100.351144,99.706579,100.086866,160.006197,119.983272,139.912018,60.042666,59.999082,60.003592,100.157021,,
2015-12-07 15:02:29.398398,2015-12-07 15:51:29.712746,,,,,,,139.987625,120.03829,59.969122,80.033066,79.952603,140.055883,100.017911,140.074638,59.936475,120.214008,60.001707,120.103194,120.010088,79.974977,120.013714,99.841758,140.10036,159.934939,100.029463,59.999082,100.251549,99.731687,80.020967,179.943587,80.181844,59.893146,120.010901,119.991764,,
2015-12-07 15:11:29.437901,2015-12-07 15:25:49.825716,,,,,,,260.050949,100.010685,60.054971,120.154458,80.264979,119.754453,120.09732,,,,,,,,,,,,,,,,,,,,,,,
2015-12-07 15:21:49.973943,2015-12-07 15:58:09.801547,,,59.808977,59.945476,60.064612,79.974977,359.955832,99.984791,59.950148,80.395328,79.633217,100.251549,79.748047,60.092926,59.957517,79.921719,100.025388,80.013682,100.124423,79.867587,219.967525,80.06172,59.960724,140.121439,,,,,,,,,,,,
2015-12-07 15:27:09.703751,2015-12-07 15:48:09.698038,,,,,,,,80.040315,99.879461,120.10029,60.009718,120.037518,119.921965,120.245832,39.722602,100.118371,79.916758,99.98951,140.012038,79.999909,,,,,,,,,,,,,,,,
2015-12-07 15:28:09.781699,2015-12-07 16:01:49.717896,,,,,,,,,,,,,,,,139.928674,139.889377,100.006998,160.08627,79.997875,139.979644,100.066803,119.948751,79.955814,120.007276,80.029595,79.971223,100.051629,120.021244,79.928557,60.032178,79.992585,80.123056,159.918648,,
2015-12-07 15:32:49.599750,2015-12-07 16:15:09.802458,,,,,,,300.153822,119.90788,20.186462,99.837903,119.973242,79.976032,100.063038,79.999909,40.013503,99.938458,60.062747,99.973897,119.975866,100.042675,140.094064,159.918648,20.020749,80.04556,99.944781,79.981048,120.031736,80.013738,80.336786,219.663513,20.046651,,,,,
2015-12-07 15:38:29.690893,2015-12-07 16:14:29.763255,,,,,,,280.055335,99.882834,60.012843,100.068176,60.112471,119.827447,100.051629,59.985015,100.032741,99.964223,60.043832,79.972679,180.017778,40.017072,119.975476,180.135372,59.895954,80.013738,139.977144,80.055377,59.975226,,,,,,,,,
2015-12-07 15:46:09.685644,2015-12-07 16:33:09.985171,,,,,,,120.012394,119.961019,60.007027,99.982291,140.014134,60.011967,120.127071,119.96429,99.952059,100.066309,120.23931,179.718255,80.013738,99.976821,140.015249,100.039863,80.116363,79.961136,80.047664,100.231578,59.718611,120.058302,99.959407,160.140356,19.828956,80.220241,59.857776,120.05734,,
2015-12-07 15:47:09.660619,2015-12-07 15:52:29.623590,,,60.037419,119.961019,60.007027,79.957506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-07 15:47:09.660619,2015-12-07 15:58:29.806394,,,,,,,,,,,,,,,,,,,,,,140.060363,59.929017,80.02404,99.983625,60.112064,79.91038,100.047331,60.078955,,,,,,,
2015-12-07 15:55:49.680108,2015-12-07 16:49:30.766599,,,80.151561,119.967579,59.966589,99.952059,279.992138,120.031736,19.946423,80.082819,100.005534,119.971032,200.033461,60.083901,59.949086,120.330156,59.718611,100.01735,139.987366,80.15594,99.828068,80.189397,99.900632,140.01014,100.003408,59.953166,120.031424,180.174766,19.966089,119.909105,80.139537,59.874779,61.02252,99.740119,,
2015-12-07 15:56:09.674476,2015-12-07 16:08:29.741770,,,,,,,,,,,,,,,,,,,,,,,,,60.157193,99.868449,80.065719,99.952059,59.982287,100.010261,60.313071,59.686519,120.031736,,,
2015-12-07 16:01:49.717896,2015-12-07 16:59:51.073686,,,59.982287,120.04656,60.006818,39.956473,260.088623,119.944784,100.019814,140.140549,39.87711,100.033112,120.330156,79.717027,60.050952,139.968341,100.142947,180.017465,119.914048,99.988409,140.450943,99.611879,99.962946,160.1114,99.942574,39.972221,200.011867,140.001882,60.05053,79.972601,40.026782,59.973059,100.03539,221.006241,,
