departure,arrival,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
2015-12-07 11:33:18.515198,2015-12-07 12:16:58.647942,,,,,,60.032562,39.965783,80.044137,60.055331,99.940783,59.982313,120.000267,40.016724,100.012392,59.983562,99.971198,80.013886,120.032538,220.036959,100.051287,39.936267,60.014064,59.952974,60.026457,99.985679,100.069884,59.976109,100.021458,200.049831,159.936564,40.105394,119.932182,79.986157,100.000002,,
2015-12-07 11:33:18.515198,2015-12-07 11:58:18.558225,,,,,,,,,,40.046948,59.951397,119.998301,40.002212,80.039738,59.982313,200.0206,79.964762,120.090005,159.956703,80.034019,80.043952,119.957485,159.98277,99.971822,,,,,,,,,,,,
2015-12-07 11:33:18.515198,2015-12-07 12:04:58.623009,,,,,,,,,,,,,20.557883,99.504712,59.979887,219.978427,120.000267,99.949937,120.064245,139.973191,100.060973,60.017476,140.339488,59.661949,179.957834,79.996758,80.047485,79.964651,100.069884,139.982764,,,,,,
2015-12-07 11:33:18.515198,2015-12-07 11:51:18.581962,,,,,,,,,,,,,,,,,,,,,20.557883,119.470858,60.029234,99.947749,160.053098,80.009766,99.969083,79.996183,199.991168,160.041742,,,,,,
2015-12-07 11:33:18.515198,2015-12-07 11:45:58.603464,,,,,,,,,,,,,,,,,,,,,,,,,60.032562,79.996179,100.069072,59.907911,260.032176,200.050366,,,,,,
2015-12-07 12:03:58.654237,2015-12-07 12:52:18.751180,,19.93502,100.080671,59.961794,60.251604,199.740881,60.001277,100.036299,79.986157,79.960428,100.183377,99.803114,100.107636,40.026401,99.993223,79.959185,60.009272,99.96714,120.083957,119.912262,80.059955,80.199573,119.80129,99.978328,180.028772,20.015341,119.957166,80.035946,119.991929,320.028945,,,,,,
2015-12-07 11:35:58.540370,2015-12-07 12:28:58.710925,,,139.980552,60.0008,60.016098,140.015278,40.003609,100.066123,79.965502,99.935415,120.038588,120.083813,119.957485,40.01301,60.038277,140.031937,99.918853,79.964651,80.346099,79.699894,80.006655,100.001664,139.979858,40.061523,140.063547,119.932182,39.956788,80.030126,180.032826,219.982957,80.057639,79.959185,140.025504,80.004117,,
2015-12-07 11:42:18.583786,2015-12-07 12:25:59.418520,,,160.039044,39.927726,60.060918,79.912273,40.016473,80.022115,100.001136,80.378213,119.957592,119.662191,39.989954,100.033261,79.998857,140.063232,79.942486,120.039968,200.036829,99.958153,20.048495,139.989081,60.003154,59.98376,120.021693,79.975624,60.034534,99.993824,120.047747,120.696401,,,,,,
2015-12-07 11:48:38.540220,2015-12-07 12:32:18.737438,,,160.041742,59.989327,19.999332,120.046022,60.038277,39.936267,79.960234,100.033261,99.985679,200.018896,80.052457,39.987511,60.195968,99.779338,79.98084,120.040113,120.084332,80.98016,58.918392,60.082425,119.964244,60.014638,139.998493,60.053951,99.995031,119.989658,159.939488,120.091142,,,,,,
2015-12-07 11:58:18.558225,2015-12-07 12:11:18.624207,,,120.022397,60.00072,60.335118,99.737777,59.968772,80.006216,60.195968,119.816643,119.982371,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-07 12:12:18.625484,2015-12-07 12:57:18.796203,,,100.036299,79.986157,40.000757,79.972156,40.049537,79.975624,60.034534,99.993824,120.047747,99.995031,99.936026,100.057749,20.103227,79.871981,120.03203,140.091431,119.916031,140.010422,119.985806,20.015341,119.957166,40.073286,139.990402,79.950306,80.034757,80.036743,199.960061,200.056288,,,,,,
2015-12-07 12:13:58.661783,2015-12-07 12:42:58.762902,,,,,,,,,,,,,,60.003154,99.943431,80.062022,119.924469,120.079513,140.038701,80.004077,119.989658,80.004117,79.935371,40.027692,140.039902,80.199573,99.790107,79.976466,220.041817,100.041049,,,,,,
